,Zone1,Zone2,Zone3,Zone4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.001610305958132045,0.0
46,0.0,0.0,0.00644122383252818,0.0
47,0.0,0.0,0.01932367149758454,0.0
48,0.0,0.001610305958132045,0.04830917874396135,0.0
49,0.0,0.001610305958132045,0.10144927536231885,0.0
50,0.0,0.004830917874396135,0.18035426731078905,0.0
51,0.0,0.011272141706924315,0.2882447665056361,0.0
52,0.0,0.02576489533011272,0.36553945249597425,0.0
53,0.001610305958132045,0.04669887278582931,0.3188405797101449,0.0
54,0.004830917874396135,0.0853462157809984,0.27697262479871176,0.0
55,0.01610305958132045,0.12560386473429952,0.24154589371980675,0.0
56,0.028985507246376812,0.18679549114331723,0.19484702093397746,0.001610305958132045
57,0.04508856682769726,0.23671497584541062,0.1610305958132045,0.014492753623188406
58,0.06280193236714976,0.32045088566827695,0.11916264090177134,0.037037037037037035
59,0.10950080515297907,0.4428341384863124,0.09500805152979067,0.06602254428341385
60,0.1723027375201288,0.5652173913043478,0.07568438003220612,0.1111111111111111
61,0.2721417069243156,0.71658615136876,0.05958132045088567,0.1610305958132045
62,0.41867954911433175,0.8631239935587761,0.0499194847020934,0.23027375201288244
