,Zone,Simulation,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.006925207756232687,0.009695290858725761,0.0110803324099723,0.0013850415512465374,0.008310249307479225,0.009695290858725761,0.0110803324099723,0.01662049861495845,0.012465373961218837,0.012465373961218837,0.00554016620498615,0.009695290858725761,0.018005540166204988,0.009695290858725761,0.013850415512465374,0.00554016620498615,0.006925207756232687,0.004155124653739612,0.002770083102493075,0.004155124653739612,0.0,0.0013850415512465374,0.0013850415512465374,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.004155124653739612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465374,0.004155124653739612,0.002770083102493075,0.0013850415512465374,0.0013850415512465374,0.0110803324099723,0.00554016620498615,0.00554016620498615,0.012465373961218837,0.002770083102493075,0.0,0.0013850415512465374,0.0013850415512465374,0.002770083102493075,0.002770083102493075,0.0013850415512465374,0.006925207756232687,0.0013850415512465374,0.002770083102493075,0.004155124653739612,0.002770083102493075,0.0,0.002770083102493075,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002638522427440633,0.011433597185576077,0.05716798592788039,0.06068601583113457,0.09234828496042216,0.12049252418645559,0.1644678979771328,0.26649076517150394,0.357080035180299,0.5057167985927881,0.6262093227792436,0.7255936675461742,0.7194371152154794,0.7176781002638523,0.5848724714160071,0.3781882145998241,0.23043095866314864,0.11345646437994723,0.07475813544415127,0.04221635883905013,0.025505716798592787,0.018469656992084433,0.010554089709762533,0.009674582233948988,0.0043975373790677225,0.003518029903254178,0.0008795074758135445,0.0,0.0,0.0,0.0008795074758135445,0.0043975373790677225,0.0008795074758135445,0.001759014951627089,0.0008795074758135445,0.0008795074758135445,0.008795074758135445,0.006156552330694811,0.009674582233948988,0.0043975373790677225,0.008795074758135445,0.014072119613016711,0.009674582233948988,0.0043975373790677225,0.002638522427440633,0.001759014951627089,0.012313104661389622,0.003518029903254178,0.008795074758135445,0.002638522427440633,0.0043975373790677225,0.007036059806508356,0.007036059806508356,0.003518029903254178,0.0079155672823219,0.0008795074758135445,0.0,0.0008795074758135445,0.003518029903254178,0.001759014951627089,0.001759014951627089,0.0008795074758135445,0.0008795074758135445,0.0008795074758135445,0.0,0.001759014951627089,0.0008795074758135445,0.001759014951627089,0.011433597185576077,0.006156552330694811,0.0043975373790677225,0.0,0.0079155672823219,0.002638522427440633,0.0008795074758135445,0.0043975373790677225,0.001759014951627089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008795074758135445,0.0008795074758135445,0.001759014951627089,0.0,0.0008795074758135445,0.0,0.0008795074758135445,0.003518029903254178,0.002638522427440633,0.005277044854881266,0.003518029903254178,0.0008795074758135445,0.002638522427440633,0.0043975373790677225,0.001759014951627089,0.002638522427440633,0.001759014951627089,0.001759014951627089,0.0008795074758135445,0.0,0.0
2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.01643192488262911,0.018779342723004695,0.036384976525821594,0.051643192488262914,0.11502347417840375,0.1572769953051643,0.3227699530516432,0.4753521126760563,0.676056338028169,0.8685446009389671,0.9154929577464789,0.8251173708920188,0.6936619718309859,0.43427230046948356,0.31220657276995306,0.1607981220657277,0.10915492957746478,0.0880281690140845,0.04812206572769953,0.035211267605633804,0.01995305164319249,0.023474178403755867,0.01056338028169014,0.008215962441314555,0.009389671361502348,0.008215962441314555,0.01056338028169014,0.0011737089201877935,0.0011737089201877935,0.0011737089201877935,0.0011737089201877935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.005868544600938967,0.01056338028169014,0.01643192488262911,0.017605633802816902,0.011737089201877934,0.014084507042253521,0.011737089201877934,0.014084507042253521,0.008215962441314555,0.004694835680751174,0.0,0.0011737089201877935,0.0035211267605633804,0.0011737089201877935,0.0035211267605633804,0.002347417840375587,0.002347417840375587,0.002347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002347417840375587,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.004694835680751174,0.002347417840375587,0.004694835680751174,0.004694835680751174,0.0011737089201877935,0.0011737089201877935,0.002347417840375587,0.0,0.0011737089201877935,0.0
3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002124645892351275,0.0028328611898017,0.00424929178470255,0.004957507082152974,0.009206798866855524,0.012039660056657223,0.012747875354107648,0.026912181303116147,0.03328611898016997,0.06373937677053824,0.11543909348441926,0.1565155807365439,0.2330028328611898,0.26841359773371104,0.34560906515580736,0.32790368271954673,0.3371104815864023,0.29036827195467424,0.2188385269121813,0.1501416430594901,0.11543909348441926,0.0821529745042493,0.05453257790368272,0.024787535410764873,0.024079320113314446,0.014872521246458924,0.0113314447592068,0.007082152974504249,0.006373937677053824,0.0035410764872521247,0.002124645892351275,0.00141643059490085,0.002124645892351275,0.00141643059490085,0.00424929178470255,0.0,0.000708215297450425,0.002124645892351275,0.000708215297450425,0.002124645892351275,0.0028328611898017,0.004957507082152974,0.0113314447592068,0.010623229461756374,0.010623229461756374,0.0169971671388102,0.014164305949008499,0.0113314447592068,0.010623229461756374,0.009915014164305949,0.0169971671388102,0.012039660056657223,0.012039660056657223,0.007790368271954674,0.0056657223796034,0.002124645892351275,0.000708215297450425,0.002124645892351275,0.00141643059490085,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.0,0.0,0.000708215297450425,0.002124645892351275,0.00141643059490085,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.0,0.000708215297450425,0.0,0.002124645892351275,0.00141643059490085,0.002124645892351275,0.000708215297450425,0.0,0.000708215297450425,0.0,0.00141643059490085,0.0,0.0,0.0,0.0,0.000708215297450425,0.000708215297450425,0.002124645892351275,0.00141643059490085,0.0,0.002124645892351275,0.0035410764872521247,0.00141643059490085,0.0035410764872521247,0.0,0.00141643059490085,0.002124645892351275,0.00141643059490085,0.0,0.00141643059490085,0.002124645892351275,0.002124645892351275,0.002124645892351275,0.0
4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001034126163391934,0.02688728024819028,0.04963805584281282,0.08790072388831438,0.13236814891416754,0.16028955532574973,0.2626680455015512,0.38986556359875907,0.5987590486039297,0.8086866597724922,0.8521199586349535,0.9162357807652534,1.0,0.7290589451913133,0.5211995863495347,0.31230610134436404,0.17890382626680454,0.11995863495346432,0.06514994829369183,0.028955532574974147,0.022750775594622543,0.014477766287487074,0.012409513960703205,0.007238883143743537,0.004136504653567736,0.0,0.0,0.0031023784901758012,0.0,0.0,0.0,0.0,0.0,0.001034126163391934,0.001034126163391934,0.007238883143743537,0.0031023784901758012,0.001034126163391934,0.001034126163391934,0.0,0.001034126163391934,0.0,0.002068252326783868,0.002068252326783868,0.0031023784901758012,0.0062047569803516025,0.004136504653567736,0.0031023784901758012,0.0062047569803516025,0.009307135470527405,0.012409513960703205,0.016546018614270942,0.012409513960703205,0.01964839710444674,0.012409513960703205,0.016546018614270942,0.014477766287487074,0.01344364012409514,0.009307135470527405,0.002068252326783868,0.002068252326783868,0.0031023784901758012,0.002068252326783868,0.002068252326783868,0.0,0.001034126163391934,0.001034126163391934,0.001034126163391934,0.001034126163391934,0.0,0.0,0.0,0.002068252326783868,0.0031023784901758012,0.001034126163391934,0.0,0.0,0.002068252326783868,0.001034126163391934,0.001034126163391934,0.005170630816959669,0.008273009307135471,0.004136504653567736,0.005170630816959669,0.0062047569803516025,0.0,0.002068252326783868,0.001034126163391934,0.001034126163391934,0.0,0.0,0.0031023784901758012,0.004136504653567736,0.0062047569803516025,0.0031023784901758012,0.0031023784901758012,0.001034126163391934,0.0031023784901758012,0.0,0.001034126163391934,0.0,0.001034126163391934,0.002068252326783868,0.005170630816959669,0.0
5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009813542688910696,0.008832188420019628,0.015701668302257114,0.008832188420019628,0.015701668302257114,0.009813542688910697,0.011776251226692836,0.002944062806673209,0.005888125613346418,0.005888125613346418,0.013738959764474975,0.013738959764474975,0.022571148184494603,0.03729146221786065,0.029440628066732092,0.03925417075564279,0.053974484789008834,0.08439646712463199,0.09911678115799803,0.1099116781157998,0.15112855740922473,0.13444553483807656,0.1746810598626104,0.17762512266928362,0.2100098135426889,0.17958783120706576,0.09617271835132483,0.05593719332679097,0.05691854759568204,0.033366045142296366,0.029440628066732092,0.02453385672227674,0.020608439646712464,0.020608439646712464,0.008832188420019628,0.002944062806673209,0.001962708537782139,0.0009813542688910696,0.001962708537782139,0.002944062806673209,0.0,0.003925417075564278,0.004906771344455349,0.011776251226692836,0.009813542688910697,0.003925417075564278,0.007850834151128557,0.010794896957801767,0.007850834151128557,0.008832188420019628,0.004906771344455349,0.0068694798822374874,0.007850834151128557,0.0009813542688910696,0.002944062806673209,0.002944062806673209,0.005888125613346418,0.005888125613346418,0.002944062806673209,0.005888125613346418,0.0009813542688910696,0.004906771344455349,0.0,0.0009813542688910696,0.002944062806673209,0.004906771344455349,0.0009813542688910696,0.0,0.005888125613346418,0.008832188420019628,0.001962708537782139,0.0,0.0,0.0,0.0009813542688910696,0.0,0.0009813542688910696,0.0,0.0,0.0009813542688910696,0.0009813542688910696,0.0,0.0,0.0009813542688910696,0.0,0.0,0.001962708537782139,0.001962708537782139,0.0,0.0,0.0,0.0,0.0009813542688910696,0.002944062806673209,0.001962708537782139,0.003925417075564278,0.004906771344455349,0.0,0.003925417075564278,0.0,0.001962708537782139,0.0,0.0
6,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002770083102493075,0.00554016620498615,0.006925207756232687,0.006925207756232687,0.009695290858725761,0.009695290858725761,0.023545706371191136,0.02631578947368421,0.027700831024930747,0.013850415512465374,0.012465373961218837,0.009695290858725761,0.012465373961218837,0.0221606648199446,0.0110803324099723,0.013850415512465374,0.015235457063711912,0.01662049861495845,0.0110803324099723,0.008310249307479225,0.004155124653739612,0.002770083102493075,0.004155124653739612,0.009695290858725761,0.00554016620498615,0.002770083102493075,0.0,0.0,0.0013850415512465374,0.004155124653739612,0.002770083102493075,0.0013850415512465374,0.0013850415512465374,0.0013850415512465374,0.004155124653739612,0.0,0.0013850415512465374,0.002770083102493075,0.0,0.0013850415512465374,0.0,0.0,0.002770083102493075,0.0013850415512465374,0.0,0.0,0.002770083102493075,0.002770083102493075,0.0013850415512465374,0.004155124653739612,0.00554016620498615,0.004155124653739612,0.006925207756232687,0.004155124653739612,0.004155124653739612,0.006925207756232687,0.002770083102493075,0.009695290858725761,0.0110803324099723,0.00554016620498615,0.0,0.008310249307479225,0.00554016620498615,0.002770083102493075,0.0013850415512465374
7,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035294117647058825,0.00823529411764706,0.012941176470588235,0.009411764705882352,0.015294117647058824,0.011764705882352941,0.027058823529411764,0.047058823529411764,0.06352941176470588,0.14588235294117646,0.23058823529411765,0.36823529411764705,0.48,0.528235294117647,0.5423529411764706,0.5882352941176471,0.5164705882352941,0.3976470588235294,0.22823529411764706,0.18,0.10588235294117647,0.09176470588235294,0.05058823529411765,0.03529411764705882,0.012941176470588235,0.002352941176470588,0.007058823529411765,0.002352941176470588,0.0,0.0,0.0,0.0,0.0,0.001176470588235294,0.001176470588235294,0.0,0.0,0.0035294117647058825,0.002352941176470588,0.004705882352941176,0.0035294117647058825,0.00823529411764706,0.011764705882352941,0.00823529411764706,0.01764705882352941,0.02,0.018823529411764704,0.02588235294117647,0.03411764705882353,0.03764705882352941,0.03294117647058824,0.021176470588235293,0.021176470588235293,0.009411764705882352,0.007058823529411765,0.001176470588235294,0.0035294117647058825,0.002352941176470588,0.004705882352941176,0.0035294117647058825,0.0035294117647058825,0.001176470588235294,0.001176470588235294,0.002352941176470588,0.0,0.001176470588235294,0.0,0.0,0.0,0.001176470588235294,0.0,0.001176470588235294,0.001176470588235294,0.001176470588235294,0.0,0.0,0.0,0.001176470588235294,0.0,0.001176470588235294,0.0035294117647058825,0.0058823529411764705,0.010588235294117647,0.010588235294117647,0.0058823529411764705,0.0035294117647058825,0.007058823529411765,0.0035294117647058825,0.0,0.001176470588235294,0.002352941176470588,0.004705882352941176,0.010588235294117647,0.0035294117647058825,0.001176470588235294,0.0,0.002352941176470588,0.001176470588235294,0.002352941176470588,0.0,0.001176470588235294,0.0,0.0
8,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011037527593818985,0.0033112582781456954,0.002207505518763797,0.002207505518763797,0.0011037527593818985,0.0033112582781456954,0.0033112582781456954,0.013245033112582781,0.006622516556291391,0.013245033112582781,0.019867549668874173,0.03090507726269316,0.03421633554083885,0.06512141280353201,0.09381898454746136,0.09271523178807947,0.10044150110375276,0.1445916114790287,0.23841059602649006,0.23620309050772628,0.15562913907284767,0.17549668874172186,0.16225165562913907,0.11037527593818984,0.08609271523178808,0.06070640176600441,0.04856512141280353,0.04746136865342163,0.03532008830022075,0.03532008830022075,0.03642384105960265,0.033112582781456956,0.025386313465783666,0.01434878587196468,0.013245033112582781,0.012141280353200883,0.009933774834437087,0.025386313465783666,0.011037527593818985,0.013245033112582781,0.033112582781456956,0.03642384105960265,0.02869757174392936,0.02869757174392936,0.026490066225165563,0.02097130242825607,0.013245033112582781,0.009933774834437087,0.009933774834437087,0.012141280353200883,0.006622516556291391,0.004415011037527594,0.004415011037527594,0.004415011037527594,0.0011037527593818985,0.0011037527593818985,0.0033112582781456954,0.00772626931567329,0.002207505518763797,0.011037527593818985,0.01434878587196468,0.002207505518763797,0.004415011037527594,0.002207505518763797,0.0011037527593818985,0.0,0.0,0.0,0.0011037527593818985,0.0011037527593818985,0.0,0.0,0.0,0.0,0.0,0.0011037527593818985,0.0011037527593818985,0.0,0.002207505518763797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011037527593818985,0.0,0.0,0.0,0.0011037527593818985,0.002207505518763797,0.0011037527593818985,0.0011037527593818985,0.004415011037527594,0.009933774834437087,0.005518763796909493,0.0011037527593818985,0.0,0.002207505518763797,0.0
