,Model,Zone1,Zone2,Zone3,Zone4,Total
0,Start Sep Patch 3,-0.11296649087659039,-0.05056394378575282,-0.08549955940284026,0.08514706908925718,-0.040970731243981574
1,Start Sep Patch 3,-0.10838301316205343,-0.055373858572831884,-0.07503895850942084,0.05505208460873354,-0.04593593640889316
2,Start Sep Patch 3,-0.11055887119357334,-0.09069379118515533,-0.1884115405632772,0.06780192214749127,-0.08046557019862866
3,Start Sep Patch 3,-0.11475860971997263,-0.09228419240419714,-0.21388708118811137,0.13613394416218952,-0.0711989847875229
4,Start Sep Patch 3,-0.12460028639646703,-0.05374118884980852,0.02826226482644978,-0.0038798793591595724,-0.038489772444746335
5,Start Sep Patch 3,-0.11328066959801723,-0.07088575749139855,-0.12145865923981299,0.016017945973016222,-0.07240178508905314
6,Start Sep Patch 3,-0.16710151756709812,-0.1446016672517336,0.0075851056603672435,0.10390089546958965,-0.05005429592221872
7,Start Sep Patch 3,-0.13183589274166505,-0.06214039733999611,0.039119434736579924,-0.00039001951549495246,-0.03881171871514404
8,Start Sep Patch 3,-0.18146306607273913,-0.14184961108490343,0.04933102113371591,0.18105784434191954,-0.023230952920501778
9,Start Sep Patch 3,-0.15532126577236663,-0.12133699836682421,0.06956848573115987,0.09407800245190721,-0.028252943989030933
10,Start Sep Patch 3,-0.12034292374978954,-0.08062157855881803,-0.1507303820326852,0.048912641496587694,-0.07569556071117628
11,Start Sep Patch 3,-0.16042455177400813,-0.11626910043303038,0.01770167882114342,0.20363464890661015,-0.013839331119821233
12,Start Sep Patch 3,-0.11689608783835577,-0.0473509571576506,-0.08233044374071463,0.006193519622280443,-0.06009599227861014
13,Start Sep Patch 3,-0.12480318227938283,-0.04123616743108671,-0.10560950012439642,0.04075003952311427,-0.05772470257793793
14,Start Sep Patch 3,-0.18232434331016797,-0.16756257270843752,0.09483957961969516,0.030974762169789234,-0.05601814355728027
15,Start Sep Patch 3,-0.14537040122743702,-0.13416427388966018,0.06539036974567407,0.05363728226767114,-0.04012675577593799
16,Start Sep Patch 3,-0.2481560217159478,-0.18969783188339226,0.08166514294426554,0.14000069058729434,-0.054047005016945045
17,Start Sep Patch 3,-0.11100946351708334,-0.10099178446395297,-0.25633931432545,0.1578561905171745,-0.07762109294732794
18,Start Sep Patch 3,-0.182110590134679,-0.11758538731426722,0.001887900842440135,0.028454347372518052,-0.06733843230849701
19,Start Sep Patch 3,-0.12042609683695282,-0.044562496242159355,-0.08331357847423423,0.027171716160527857,-0.05528261384820464
20,Start Sep Patch 3,-0.11766641021450007,-0.0751044392913114,-0.09904965094193309,0.060613741211994705,-0.05780168980893746
