,Zone1,Zone2,Zone3,Zone4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.001589825119236884,0.0,0.0,0.0
49,0.0047694753577106515,0.0,0.0,0.0
50,0.012718600953895072,0.0,0.0,0.0
51,0.03179650238473768,0.0,0.0,0.0
52,0.06836248012718601,0.0,0.0,0.0
53,0.10492845786963434,0.0,0.0,0.0
54,0.1685214626391097,0.0,0.0,0.0
55,0.24483306836248012,0.0,0.0,0.0
56,0.35294117647058826,0.0,0.0,0.0
57,0.4864864864864865,0.001589825119236884,0.0,0.0
58,0.6184419713831478,0.006359300476947536,0.001589825119236884,0.0
59,0.7519872813990461,0.011128775834658187,0.001589825119236884,0.0
60,0.8585055643879174,0.02066772655007949,0.0047694753577106515,0.003179650238473768
61,0.9284578696343402,0.034976152623211444,0.006359300476947536,0.006359300476947536
62,0.9697933227344993,0.05246422893481717,0.00794912559618442,0.011128775834658187
63,0.9713831478537361,0.08426073131955485,0.012718600953895072,0.012718600953895072
64,0.9523052464228935,0.13036565977742448,0.019077901430842606,0.019077901430842606
65,0.8553259141494436,0.21462639109697934,0.02702702702702703,0.04133545310015898
