,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
30,Start Feb Patch 1,0.188,-0.075,0.316,0.11,0.09,0.066,0.184,0.026,-0.043,-0.27,0.019,0.069,0.257,-0.249,0.458,0.187,0.45,-0.01,0.708,0.203
31,Start Jun Patch 1,0.193,-0.021,0.466,0.114,0.383,-0.122,0.818,0.248,-0.107,-0.232,0.008,0.056,0.246,0.118,0.439,0.067,0.252,0.017,0.675,0.195
32,Start Nov Patch 1,-0.143,-0.205,0.0,0.039,-0.21,-0.374,0.0,0.073,-0.161,-0.275,0.0,0.055,-0.105,-0.272,0.01,0.08,-0.095,-0.127,0.0,0.036
33,Start Apr Patch 1,0.362,-0.042,0.48,0.079,0.398,0.097,0.848,0.2,0.004,-0.291,0.04,0.047,0.409,0.015,0.504,0.083,0.636,0.012,0.727,0.114
34,Start Mar Patch 1,0.272,-0.06,0.459,0.087,0.158,0.063,0.674,0.11,-0.006,-0.125,0.029,0.033,0.368,-0.277,0.473,0.119,0.566,0.099,0.718,0.16
35,Start Feb Patch 4,-0.041,-0.078,0.068,0.033,0.128,0.072,0.291,0.053,0.01,-0.1,0.386,0.095,-0.123,-0.188,-0.094,0.02,-0.179,-0.197,-0.161,0.009
36,Start Jun Patch 4,0.019,-0.088,0.152,0.056,-0.171,-0.322,-0.098,0.057,-0.132,-0.258,0.037,0.058,-0.021,-0.334,0.369,0.232,0.399,0.141,0.634,0.123
37,Start Nov Patch 4,-0.065,-0.103,-0.031,0.019,-0.109,-0.125,-0.094,0.008,-0.077,-0.118,-0.034,0.022,-0.221,-0.291,-0.086,0.041,0.15,0.077,0.224,0.04
38,Start Apr Patch 4,0.102,-0.065,0.624,0.104,0.043,-0.358,0.862,0.284,0.127,-0.196,0.939,0.228,0.252,-0.192,0.418,0.161,-0.014,-0.181,0.663,0.129
39,Start Mar Patch 4,0.061,-0.069,0.33,0.111,0.279,0.071,0.83,0.19,0.228,-0.048,0.894,0.217,-0.125,-0.214,0.134,0.082,-0.141,-0.198,0.69,0.139
40,Start Dec Patch 4,-0.065,-0.138,-0.04,0.023,-0.103,-0.112,-0.094,0.005,-0.07,-0.104,-0.05,0.012,-0.234,-0.269,-0.194,0.017,0.147,-0.089,0.222,0.081
41,Start Jan Patch 2,0.101,-0.101,0.322,0.098,0.105,0.077,0.173,0.021,-0.088,-0.127,0.256,0.068,-0.003,-0.372,0.383,0.189,0.39,-0.2,0.708,0.205
42,Start Jan Patch 3,0.127,0.042,0.24,0.045,0.113,0.077,0.353,0.04,-0.08,-0.115,0.366,0.073,0.091,-0.183,0.345,0.138,0.383,-0.115,0.654,0.163
43,Start Jan Patch 1,0.18,-0.03,0.319,0.104,0.084,0.063,0.121,0.014,-0.052,-0.239,0.02,0.075,0.279,-0.204,0.452,0.149,0.41,0.035,0.69,0.213
44,Start Oct Patch 4,-0.076,-0.143,-0.034,0.026,-0.115,-0.14,-0.099,0.008,-0.081,-0.142,-0.03,0.026,-0.189,-0.316,-0.045,0.07,0.08,-0.022,0.172,0.043
45,Start Dec Patch 2,-0.115,-0.149,-0.056,0.019,-0.114,-0.14,-0.096,0.011,-0.135,-0.195,-0.079,0.034,-0.109,-0.162,-0.001,0.033,-0.103,-0.129,0.0,0.027
46,Start Jan Patch 4,-0.059,-0.078,-0.001,0.016,0.099,0.074,0.155,0.018,-0.075,-0.116,0.102,0.041,-0.082,-0.181,0.187,0.054,-0.177,-0.21,-0.143,0.014
47,Start Oct Patch 1,-0.157,-0.214,0.0,0.039,-0.309,-0.447,0.0,0.09,-0.223,-0.292,0.0,0.062,-0.005,-0.26,0.091,0.061,-0.089,-0.162,0.208,0.054
48,Start Dec Patch 3,-0.086,-0.133,-0.06,0.016,-0.108,-0.13,-0.09,0.01,-0.049,-0.105,-0.025,0.018,-0.078,-0.21,0.003,0.062,-0.109,-0.128,-0.039,0.02
49,Start Dec Patch 1,-0.113,-0.156,0.0,0.025,-0.149,-0.229,0.0,0.029,-0.109,-0.179,0.0,0.033,-0.097,-0.165,0.0,0.045,-0.095,-0.128,0.0,0.034
50,Start Oct Patch 3,-0.071,-0.135,-0.004,0.029,-0.142,-0.2,-0.103,0.024,-0.108,-0.18,-0.051,0.032,-0.015,-0.259,0.099,0.096,-0.02,-0.127,0.201,0.102
51,Start Oct Patch 2,-0.096,-0.157,0.024,0.038,-0.165,-0.25,0.0,0.045,-0.187,-0.323,0.0,0.073,0.014,-0.255,0.151,0.077,-0.045,-0.211,0.222,0.107
