,Zone1,Zone2,Zone3,Zone4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0007987220447284345,0.0
28,0.0,0.0,0.001597444089456869,0.0
29,0.0,0.0,0.004792332268370607,0.0
30,0.0,0.0,0.009584664536741214,0.0
31,0.0,0.0,0.01597444089456869,0.0
32,0.0,0.0,0.026357827476038338,0.0
33,0.0,0.0,0.04233226837060703,0.0
34,0.0,0.0007987220447284345,0.0694888178913738,0.0
35,0.0,0.0007987220447284345,0.11261980830670927,0.0
36,0.0007987220447284345,0.0007987220447284345,0.15814696485623003,0.0
37,0.0007987220447284345,0.0023961661341853034,0.2292332268370607,0.0
38,0.0007987220447284345,0.004792332268370607,0.3075079872204473,0.0
39,0.001597444089456869,0.026357827476038338,0.36741214057507987,0.0
40,0.012779552715654952,0.17412140575079874,0.36182108626198084,0.0
41,0.07507987220447285,0.43370607028753994,0.3993610223642173,0.0
42,0.24361022364217252,0.7595846645367412,0.41533546325878595,0.0
43,0.5167731629392971,0.9768370607028753,0.3466453674121406,0.0
44,0.7843450479233227,1.0,0.2563897763578275,0.0
45,0.9177316293929713,0.8306709265175719,0.18450479233226838,0.0
46,0.8194888178913738,0.6269968051118211,0.15415335463258786,0.0
47,0.615814696485623,0.4512779552715655,0.1253993610223642,0.0
48,0.4504792332268371,0.32028753993610226,0.09744408945686901,0.0
49,0.31549520766773165,0.22523961661341854,0.07587859424920128,0.0
50,0.22523961661341854,0.16293929712460065,0.06070287539936102,0.0
51,0.1597444089456869,0.12300319488817892,0.0463258785942492,0.0
52,0.11741214057507987,0.08626198083067092,0.03274760383386582,0.0
53,0.0670926517571885,0.04073482428115016,0.019169329073482427,0.0
54,0.04792332268370607,0.025559105431309903,0.012779552715654952,0.0
55,0.03274760383386582,0.016773162939297124,0.009584664536741214,0.0
