,Model,Zone1,Zone2,Zone3,Zone4,Total
0,Start Sep Patch 3,2.462137851873091,2.699369495638496,1.7781056155555253,2.143798896112909,9.083411859180021
1,Start Sep Patch 3,2.4301157638425277,2.4650341836200695,1.541099368681195,2.0953306000946412,8.531579916238433
2,Start Sep Patch 3,2.358590028397094,2.39453781037128,0.8163237624012899,1.4357503074806002,7.005201908650264
3,Start Sep Patch 3,2.3964248578067857,2.353468226534372,0.8877324001171198,1.4514081470392934,7.089033631497571
4,Start Sep Patch 3,1.995476150589323,2.1125652214992234,2.0831943391805687,2.0429731891274208,8.234208900396537
5,Start Sep Patch 3,2.3513847992132297,2.6183007686593402,1.3791498419025834,2.013450146574919,8.362285556350074
6,Start Sep Patch 3,1.683355550272114,1.9708335944150883,2.356241581376583,1.829583506123885,7.84001423218767
7,Start Sep Patch 3,1.7681177655757594,2.0114877950557384,2.263590762021626,1.8101658757815746,7.853362198434699
8,Start Sep Patch 3,1.7046509038278104,1.9624956607911326,2.3609226125400467,1.7370773930972412,7.765146570256231
9,Start Sep Patch 3,1.7386554615386562,1.9740030315178885,2.1525309781969004,1.711757999940881,7.576947471194326
10,Start Sep Patch 3,2.4099168137813995,2.4799899653008173,1.1519303871300923,1.8532187238725608,7.895055890084871
11,Start Sep Patch 3,1.9260477768868058,1.9866861527602515,2.3573815479677935,1.982266669322671,8.252382146937522
12,Start Sep Patch 3,2.325063248719069,2.583983681003021,1.7875878903033189,2.158231386395388,8.854866206420796
13,Start Sep Patch 3,1.9947869050766636,2.4988602424405046,1.2366422973886522,1.6854119584769236,7.415701403382744
14,Start Sep Patch 3,1.6394890456650582,1.9579449341728552,2.201312910698912,1.5703778362951006,7.369124726831926
15,Start Sep Patch 3,1.6711744318315718,2.034009037296822,2.180742635147966,1.8827405163889852,7.7686666206653445
16,Start Sep Patch 3,1.6102689003674926,1.9670310876326165,2.3086934735579874,1.8669863086115088,7.752979770169605
17,Start Sep Patch 3,2.436317149217229,2.6261044865845267,0.7206384209657887,1.4646590363951328,7.247719093162678
18,Start Sep Patch 3,1.7241049952400702,1.981350894190102,2.381988066333284,1.8015349623763055,7.888978918139761
19,Start Sep Patch 3,2.2043577122593168,2.4728214817837006,1.560752738260384,1.9486909373837427,8.186622869687143
20,Start Sep Patch 3,2.403776249235009,2.7105495302241494,1.3362601063908894,2.0017369202014668,8.452322806051514
21,Start Sep Patch 3,1.6584932962567562,1.9777446974215231,2.252511676452992,2.06344368869674,7.952193358828012
22,Start Sep Patch 3,2.398665188344757,2.416373873596223,1.6402824822273696,1.9590898734481315,8.414411417616481
23,Start Sep Patch 3,2.4523177564519583,2.4130616423331332,0.6361377278359881,1.6417520907377137,7.143269217358793
24,Start Sep Patch 3,1.8980032508392735,2.2707780911874784,1.8202879930510911,1.8343849793360334,7.823454314413877
25,Start Sep Patch 3,2.449036312221297,2.510635402386777,0.7353426678798098,1.756983399130578,7.451997781618462
26,Start Sep Patch 3,2.095468987840915,2.393762728983093,1.684544790401074,1.7980706915874973,7.97184719881258
27,Start Sep Patch 3,2.33394226262664,2.4359644719831928,0.8719590084860389,1.4487744129965534,7.090640156092426
28,Start Sep Patch 3,2.199272835479439,2.1728712276177053,2.4306176251528284,2.1098688460531734,8.912630534303146
29,Start Sep Patch 3,2.0419853457045556,2.1877419461551777,1.9411514920655482,1.815511984961744,7.986390768887025
30,Start Sep Patch 3,2.3267263395165303,2.4820375596406072,0.9375501547474504,1.4485219293002913,7.194835983204879
31,Start Sep Patch 3,2.194580883155781,2.5759307426995752,1.8512920005140967,2.0081018189862934,8.629905445355746
32,Start Sep Patch 3,1.7211772828651268,1.9664905778203638,2.0846834175029847,1.8184054447032028,7.590756722891678
33,Start Sep Patch 3,2.3659254290701526,2.501833379244338,1.6532148657139203,1.9437111625674994,8.46468483659591
34,Start Sep Patch 3,2.3876400033647522,2.5391756497660207,1.6944263232791001,1.8984273046044262,8.5196692810143
35,Start Sep Patch 3,2.4494749849510584,2.4230294223918563,0.5460159391591817,1.3782607155223727,6.796781062024468
36,Start Sep Patch 3,2.468583039149092,2.669646979915219,0.9110712012893859,1.741113537398284,7.7904147577519804
37,Start Sep Patch 3,2.3084703730775202,2.494202338970205,1.2703414951803154,1.981496387920093,8.054510595148134
38,Start Sep Patch 3,2.093986593771997,2.5570669397249817,1.0011642435602321,1.2554766886341238,6.9076944656913355
39,Start Sep Patch 3,2.4652927216771525,2.434493506979476,0.604739707167147,1.315611843172453,6.820137778996228
40,Start Sep Patch 3,2.3799522386754783,2.5775643167493785,0.9970620272024212,1.9574701819846803,7.912048764611958
41,Start Sep Patch 3,1.824275986150365,2.066204898316732,2.1133100112798573,1.8015987747559719,7.805389670502926
42,Start Sep Patch 3,2.390733029811421,2.639572840520148,1.4756637783978863,1.852347585310082,8.358317234039538
43,Start Sep Patch 3,2.3868371480317334,2.356490711475053,0.5101285908353789,1.2663946120304,6.519851062372565
44,Start Sep Patch 3,2.3725472118792457,2.632067501915953,1.452687283325804,2.111130053195641,8.568432050316645
45,Start Sep Patch 3,2.420985774364738,2.496985096534131,1.5648422212190605,1.99022277206566,8.47303586418359
46,Start Sep Patch 3,2.3022559883155442,2.675951921584219,1.275222538807534,1.8924253461601004,8.145855794867398
47,Start Sep Patch 3,2.3721295382969574,2.38106610339457,1.3573936843349186,1.9905316970423474,8.101121023068794
48,Start Sep Patch 3,2.474021875189787,2.5529868067170107,1.0125278864252092,1.8456374467666108,7.8851740150986185
49,Start Sep Patch 3,1.6325482448646067,1.96420353195606,2.148100965802,1.6339423121236254,7.378795054746293
50,Start Model Patch 2,1.3170570201865037,1.8667003266321434,0.3321916457420346,0.5330267577172401,4.048975750277922
51,Start Model Patch 2,1.7623618238155068,2.417285652725075,0.32823802712285716,1.2329172585094295,5.740802762172869
52,Start Model Patch 2,1.630528454553151,1.954752195538801,0.7538915832444424,1.8281129720682454,6.16728520540464
53,Start Model Patch 2,1.2940759526489625,0.8531086233935645,0.34013214948094656,0.6743439220729418,3.161660647596415
54,Start Model Patch 2,0.9119038646354392,1.2857361103221634,0.3489739692692119,0.47630939179368303,3.0229233360204972
55,Start Model Patch 2,0.8186200614085363,1.1993359922990952,0.34337366798236346,0.46248372829473,2.823813449984725
56,Start Model Patch 2,1.0366947933508994,1.4252616875923962,0.3553624929475203,0.396000940500566,3.2133199143913824
57,Start Model Patch 2,0.8639176971301105,1.3467701730197645,0.3416949366442579,0.3792429446492533,2.9316257514433857
58,Start Model Patch 2,0.8273607648561037,1.6909171903203082,0.3392292951011171,0.46045629641497554,3.317963546692505
59,Start Model Patch 2,1.2915958484381653,1.1977583120033544,0.34654280887122085,0.4676957402839866,3.3035927095967272
60,Start Model Patch 2,1.6381395486506476,1.9584153809491294,0.6025519987326011,1.6834858056591995,5.882592733991578
61,Start Model Patch 2,2.1397273158467596,2.04914818406795,2.1025991365775747,2.1510153511957673,8.442489987688052
62,Start Model Patch 2,1.1670323457095733,0.9944362202430745,0.351290621693707,0.6609514523902936,3.173710640036648
63,Start Model Patch 2,0.8474756261404391,1.8194855786399358,0.3665488621069345,0.3583637857393441,3.3918738526266536
64,Start Model Patch 2,1.7235789187045294,1.558238246257347,0.3798990899744045,0.8566540020117792,4.51837025694806
65,Start Model Patch 2,1.356833386337478,0.8333238791372817,0.3607716311032504,0.46666560836115206,3.017594504939162
66,Start Model Patch 2,1.2440043259454676,0.6914177620181579,0.3387528031225302,0.5666686392313183,2.840843530317474
67,Start Model Patch 2,0.9165903627987122,1.1879805479117618,0.35506783680919024,0.4344142835410418,2.894053031060706
68,Start Model Patch 2,1.0945799010351702,1.317666381567546,0.350980293430648,0.502617672891373,3.2658442489247372
69,Start Model Patch 2,0.9419633360331815,1.4356694226293492,0.3627691437883395,0.3700114519394541,3.1104133543903245
70,Start Model Patch 2,1.9282561539116267,1.2752975964300008,0.3118485711368799,0.8437894021401232,4.359191723618631
71,Start Model Patch 2,0.9924275401439765,1.130887052429533,0.373194577551575,0.3931309453557486,2.889640115480833
72,Start Model Patch 2,2.17453993818013,1.2237932317555416,0.3201173244811662,0.6912726702888529,4.4097231647056905
73,Start Model Patch 2,0.8050314178975125,1.5858392353798434,0.35215657473780343,0.39456622077553655,3.137593448790696
74,Start Model Patch 2,1.9029910987235914,2.039058853833579,0.3229852355211685,0.8755534197621816,5.140588607840521
75,Start Model Patch 2,1.362632277101944,0.9600141794723438,0.33689652974943823,0.4204388363384548,3.0799818226621807
76,Start Model Patch 2,1.6539308042904095,0.8658807947452793,0.36187717504118344,0.637491401661132,3.5191801757380046
77,Start Model Patch 2,1.9440964213407879,2.7839795962158673,0.743829262101527,0.5818265197678694,6.0537317994260516
78,Start Model Patch 2,1.2955024635211592,1.7300054955097857,0.3739585015097142,0.4000892902268346,3.7995557507674933
79,Start Model Patch 2,1.482729147141961,1.287280771903989,0.35413898695375934,0.45338468086558753,3.577533586865297
80,Start Model Patch 2,0.8487337664491011,1.2764110348226405,0.3593689820226033,0.45835555619380897,2.9428693394881535
81,Start Model Patch 2,1.3312836505969938,1.295362638106463,0.3644316155326159,0.429489544896537,3.4205674491326095
82,Start Model Patch 2,1.8441137409173907,1.9676516183475674,0.642061397570294,1.3086379523429819,5.762464709178234
83,Start Model Patch 2,0.9383360671572983,1.441216039618726,0.34762813030781603,0.4176010150919391,3.1447812521757794
84,Start Model Patch 2,1.9662416828740408,0.7142481417085856,0.3335888362625061,0.5282172874790612,3.5422959483241936
85,Start Model Patch 2,1.3926867021176292,1.4649662453986352,0.35443947421890515,0.37729931745505885,3.5893917391902286
86,Start Model Patch 2,1.2076136224281049,1.0895639887253752,0.34822142572702486,0.5417627788339134,3.1871618157144184
87,Start Model Patch 2,0.9440931069157357,1.215971450207918,0.3525433182732598,0.43150451062984957,2.9441123860267626
88,Start Model Patch 2,2.2123786527408478,1.6404486966577276,0.3749177665330746,0.887953143423015,5.115698259354665
89,Start Model Patch 2,0.9888573469757302,0.8096040267226978,0.3584354070562875,0.5139038352883758,2.6708006160430915
90,Start Model Patch 2,2.2321863626319223,0.8982793179828147,0.3934689807473149,0.7847087860543506,4.308643447416403
91,Start Model Patch 2,1.02313081240869,1.2395835420373909,0.39155963883178885,0.3877883542025689,3.0420623474804387
92,Start Model Patch 2,1.9835397500765977,0.9495739951871855,0.37484971839627834,0.5342749100359776,3.842238373696039
93,Start Model Patch 2,1.8324599876544416,0.8867872377469781,0.3371560525347575,0.48307213020126577,3.539475408137443
94,Start Model Patch 2,0.8981115226530162,1.2672324022890291,0.35438864841813505,0.4228082809577954,2.9425408543179756
95,Start Model Patch 2,1.709842852888676,2.671572198288605,2.2393428438766443,0.5443272743820977,7.165085169436023
96,Start Model Patch 2,1.1901336491060102,2.0993335578653385,0.31297105277612286,0.693149392399368,4.295587652146839
97,Start Model Patch 2,1.6782337084299548,2.4731612816323207,0.533751858897026,1.1215566552167726,5.806703504176074
98,Start Model Patch 2,2.325463218479214,2.316420750603627,0.3843264876027285,0.5433942420166126,5.5696046987021814
99,Start Model Patch 2,1.3121328480981158,0.9004385412260367,0.35744016272172574,0.4662867564022301,3.0362983084481083
100,Start Model Patch 2,0.9934481184466132,1.4223299851822409,0.3626442149254813,0.37791909390979533,3.1563414124641307
101,Start Model Patch 2,1.6526687747122457,1.4027049753671086,0.32033837589343417,0.8420616038780464,4.217773729850835
102,Start Model Patch 2,0.8796976350858288,1.490053935329802,0.35245366489573343,0.3335412461659284,3.0557464814772923
103,Start Model Patch 2,1.3173592876673497,1.7047148754829582,0.4143595718248888,0.5820314841177765,4.018465219092973
