,Zone1,Zone2,Zone3,Zone4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0014545454545454545
33,0.0,0.0,0.0,0.002909090909090909
34,0.0,0.0,0.0,0.007272727272727273
35,0.0,0.0,0.0,0.01309090909090909
36,0.0,0.0,0.0,0.02181818181818182
37,0.0,0.0,0.0,0.03854545454545454
38,0.0,0.0,0.0,0.05818181818181818
39,0.0,0.0,0.01890909090909091,0.06545454545454546
40,0.0007272727272727272,0.013818181818181818,0.05309090909090909,0.06618181818181817
41,0.006545454545454545,0.05454545454545454,0.07490909090909091,0.12072727272727272
42,0.032,0.15272727272727274,0.10836363636363637,0.20872727272727273
43,0.10981818181818181,0.31563636363636366,0.14472727272727273,0.29163636363636364
44,0.2807272727272727,0.5418181818181819,0.1650909090909091,0.36072727272727273
45,0.5832727272727273,0.7490909090909091,0.1869090909090909,0.3629090909090909
46,0.8523636363636363,0.8894545454545455,0.20218181818181818,0.32581818181818184
47,1.0,0.9076363636363637,0.1869090909090909,0.26327272727272727
48,0.9658181818181818,0.7789090909090909,0.16436363636363635,0.2
49,0.8130909090909091,0.5781818181818181,0.13454545454545455,0.14545454545454545
50,0.6,0.40654545454545454,0.11054545454545454,0.11636363636363636
51,0.4050909090909091,0.2756363636363636,0.08872727272727272,0.08509090909090909
52,0.2676363636363636,0.18109090909090908,0.06981818181818182,0.05890909090909091
53,0.1410909090909091,0.09090909090909091,0.04145454545454545,0.02690909090909091
54,0.09163636363636364,0.05309090909090909,0.024727272727272726,0.015272727272727273
55,0.06254545454545454,0.03345454545454545,0.013818181818181818,0.008
56,0.04218181818181818,0.02109090909090909,0.008,0.005818181818181818
