,Catalog Number,Province/State,Centroid Latitude,Centroid Longitude,Date Collected,Estimated_Infection_Date
284,MME 2456,Virginia,37.22,-75.9,1987-05-26,1987-05-03
285,MME 2461,North Carolina,35.43,-75.47,1987-05-24,1987-04-24
286,MME 2463,Georgia,30.9028,-81.4528,1987-05-23,1987-04-26
287,MME 2464,Georgia,30.7542,-81.4744,1987-04-26,1987-03-23
288,MME 2469,North Carolina,33.98,-77.9,1987-05-06,1987-04-22
289,MME 2484,Virginia,37.27,-76.02,1987-06-19,1987-05-17
290,MME 2485,Virginia,37.27,-76.02,1987-06-19,1987-05-23
291,MME 2492,Maryland,38.08,-75.2,1987-06-25,1987-06-08
292,MME 2493,North Carolina,36.42,-75.8367,1987-06-30,1987-05-23
293,MME 2495,Virginia,36.6,-75.88,1987-06-30,1987-05-25
294,MME 2496,Virginia,37.15,-75.98,1987-06-30,1987-06-12
295,MME 2497,Virginia,37.27,-76.02,1987-06-30,1987-05-26
296,MME 2502,Virginia,36.92,-76.0,1987-07-08,1987-06-13
297,MME 2508,Virginia,36.915,-75.9928,1987-07-10,1987-06-14
298,571559,Maryland,38.4394,-75.0511,1987-07-17,1987-06-25
299,MME 2519,Virginia,37.1994,-76.3936,1987-07-13,1987-06-19
300,MME 2520,Virginia,36.7236,-75.94,1987-07-14,1987-06-24
301,MME 2521,Virginia,36.8572,-75.9947,1987-07-13,1987-06-25
302,MME 2525,Virginia,37.2644,-76.0167,1987-07-19,1987-06-19
303,MME 2527,Virginia,37.32,-76.25,1987-07-19,1987-06-29
304,MME 2542,New Jersey,39.03,-74.93,1987-06-15,1987-05-19
305,MME 2543,New Jersey,38.8614,-74.8417,1987-06-21,1987-05-31
306,MME 2544,New Jersey,38.1617,-74.68,1987-06-23,1987-06-01
307,MME 2546,New Jersey,39.1264,-74.7,1987-07-06,1987-06-15
308,MME 2547,New Jersey,39.1944,-75.0283,1987-07-06,1987-06-01
309,MME 2548,New Jersey,38.9425,-74.8708,1987-07-07,1987-06-09
310,MME 2549,New Jersey,39.0569,-74.77,1987-07-08,1987-06-12
311,MME 2550,New Jersey,38.9306,-74.9278,1987-07-11,1987-06-21
312,MME 2551,New Jersey,39.1453,-74.6958,1987-07-12,1987-06-24
313,MME 2552,New Jersey,38.9306,-74.9583,1987-07-13,1987-06-26
314,MME 2563,Virginia,37.5611,-76.2989,1987-07-28,1987-06-25
315,MME 2568,Maryland,38.4453,-75.0478,1987-07-29,1987-07-05
316,MME 2570,Maryland,38.27,-75.12,1987-07-30,1987-07-08
317,MME 2573,Virginia,37.0928,-75.98,1987-08-01,1987-07-09
318,MME 2586,Virginia,37.6397,-76.4267,1987-08-04,1987-07-19
319,MME 2588,Virginia,36.9806,-76.3975,1987-08-04,1987-06-28
320,MME 2600,Virginia,36.7083,-75.9289,1987-08-07,1987-07-23
321,MME 2604,Virginia,37.18,-76.38,1987-08-07,1987-07-05
322,MME 2610,Virginia,37.0894,-76.2728,1987-08-07,1987-07-15
323,MME 2611,Virginia,37.2564,-76.4792,1987-08-08,1987-07-21
324,MME 2633,Virginia,37.3,-76.0,1987-08-11,1987-07-11
325,MME 2673,Virginia,36.62,-75.88,1987-08-20,1987-07-15
326,MME 2680,North Carolina,35.9583,-73.6239,1987-08-21,1987-07-29
327,MME 2681,North Carolina,36.35,-75.8167,1987-08-16,1987-07-13
328,MME 2683,Virginia,36.9856,-76.3925,1987-08-18,1987-07-29
329,MME 2686,Virginia,32.4,-76.25,1987-08-21,1987-08-01
330,MME 2687,Virginia,37.03,-76.28,1987-08-21,1987-08-03
331,MME 2688,South Carolina,32.0,-79.0,1987-08-21,1987-07-30
332,MME 2692,Virginia,36.93,-76.1806,1987-08-22,1987-07-17
333,MME 2709,North Carolina,34.72,-76.52,1987-08-25,1987-08-01
334,MME 2710,Virginia,36.9769,-76.4336,1987-08-26,1987-08-05
335,MME 2716,Maryland,,,1987-08-29,1987-08-03
336,MME 2717,Maryland,,,1987-08-30,1987-08-13
337,MME 2719,Virginia,36.9253,-76.1547,1987-08-30,1987-07-27
338,MME 2720,Virginia,36.7453,-75.9439,1987-08-30,1987-08-07
339,MME 2738,Virginia,37.38,-76.33,1987-08-23,1987-07-22
340,MME 2740,Virginia,37.0,-76.0,1987-08-25,1987-08-06
341,MME 2743,North Carolina,35.23,-75.6,1987-09-03,1987-08-19
342,MME 2752,North Carolina,34.77,-76.68,1987-09-05,1987-08-17
343,MME 2761,Virginia,37.3778,-76.45,1987-09-04,1987-08-08
344,MME 2762,Virginia,37.25,-76.45,1987-09-09,1987-08-18
345,MME 2772,New Jersey,39.3072,-74.5275,1987-07-20,1987-06-30
346,MME 2773,New Jersey,39.9181,-74.2472,1987-07-20,1987-06-26
347,MME 2774,New Jersey,38.9292,-74.9167,1987-07-21,1987-06-29
348,MME 2775,New Jersey,39.0167,-74.9708,1987-07-21,1987-06-15
349,MME 2776,New Jersey,39.3736,-74.4044,1987-07-21,1987-06-22
350,MME 2777,New Jersey,39.1,-74.7233,1987-07-20,1987-06-27
351,MME 2778,New Jersey,39.575,-74.2417,1987-07-23,1987-06-29
352,MME 2779,New Jersey,38.9903,-74.8,1987-07-23,1987-07-02
353,MME 2780,New Jersey,39.1,-74.7111,1987-07-24,1987-07-04
354,MME 2781,New Jersey,38.9556,-74.9667,1987-07-24,1987-07-04
355,MME 2782,New Jersey,39.3,-74.0,1987-07-27,1987-07-06
356,MME 2783,New Jersey,39.2417,-74.6333,1987-07-25,1987-06-17
357,MME 2785,New Jersey,39.2244,-74.6347,1987-07-27,1987-07-06
358,MME 2786,New Jersey,39.3028,-74.5667,1987-07-28,1987-07-12
359,MME 2787,New Jersey,38.9208,-74.9356,1987-07-28,1987-06-27
360,MME 2788,New Jersey,39.0792,-74.9089,1987-07-28,1987-06-22
361,MME 2789,New Jersey,,,1987-07-29,1987-07-07
362,MME 2791,New Jersey,36.93,-74.0,1987-07-30,1987-06-30
363,MME 2792,New Jersey,39.0,-74.0,1987-07-30,1987-07-09
364,MME 2793,New Jersey,39.02,-74.97,1987-07-30,1987-06-26
365,MME 2796,New Jersey,39.3722,-74.4042,1987-07-31,1987-07-10
366,MME 2797,New Jersey,38.9389,-74.8861,1987-08-01,1987-07-02
367,MME 2798,New Jersey,38.9356,-74.8883,1987-08-01,1987-07-06
368,MME 2799,New Jersey,38.9847,-74.8333,1987-08-01,1987-07-01
369,MME 2800,New Jersey,39.0806,-74.7333,1987-08-01,1987-07-01
370,MME 2801,New Jersey,39.05,-74.93,1987-08-02,1987-07-01
371,MME 2802,New Jersey,39.1333,-74.7033,1987-08-02,1987-07-06
372,MME 2803,New Jersey,39.2514,-74.6042,1987-08-03,1987-06-26
373,MME 2804,New Jersey,38.9306,-74.93,1987-08-03,1987-07-15
374,MME 2805,New Jersey,39.0806,-74.73,1987-08-04,1987-07-03
375,MME 2806,New Jersey,39.37,-74.4,1987-08-04,1987-07-06
376,MME 2807,New Jersey,39.3778,-74.4028,1987-08-04,1987-07-19
377,MME 2808,New Jersey,39.5389,-74.2517,1987-08-05,1987-07-18
378,MME 2809,North Carolina,35.0933,-75.9711,1987-09-16,1987-09-01
379,MME 2822,New Jersey,40.62,-74.0,1987-09-19,1987-08-24
380,MME 2878,North Carolina,35.2306,-75.6083,1987-09-03,1987-08-15
381,MME 2879,Maryland,,,1987-08-15,1987-07-09
382,MME 2880,Maryland,,,1987-08-17,1987-07-24
383,MME 2882,Maryland,,,1987-08-15,1987-07-26
384,MME 2883,Maryland,,,1987-08-17,1987-07-16
385,MME 2906,North Carolina,36.4494,-75.8433,1987-10-18,1987-09-17
386,MME 2908,North Carolina,34.42,-77.55,1987-10-26,1987-10-10
387,MME 2987,New Jersey,39.05,-74.75,1987-08-07,1987-07-05
388,MME 2988,New Jersey,39.08,-74.73,1987-08-07,1987-07-20
389,MME 2989,New Jersey,39.03,-74.93,1987-08-08,1987-07-01
390,MME 2990,New Jersey,39.82,-74.1,1987-08-08,1987-07-17
391,MME 2991,New Jersey,39.0,-74.7,1987-08-09,1987-07-09
392,MME 2992,New Jersey,39.3,-74.0,1987-08-09,1987-07-25
393,MME 2993,New Jersey,39.28,-74.57,1987-08-10,1987-07-17
394,MME 2994,New Jersey,39.82,-74.1,1987-08-11,1987-07-18
395,MME 2995,New Jersey,39.32,-74.52,1987-08-12,1987-07-07
396,MME 2996,New Jersey,39.08,-74.73,1987-08-12,1987-07-20
397,MME 2997,New Jersey,38.93,-74.0,1987-08-15,1987-07-28
398,MME 2998,New Jersey,39.12,-74.72,1987-08-15,1987-07-21
399,MME 3000,New Jersey,39.22,-75.03,1987-08-15,1987-07-20
400,MME 3004,New Jersey,39.37,-74.42,1987-08-19,1987-07-16
401,MME 3007,New Jersey,39.12,-74.72,1987-08-23,1987-08-03
402,MME 3011,New Jersey,39.08,-74.73,1987-09-05,1987-08-18
403,MME 3012,New Jersey,39.35,-74.45,1987-09-05,1987-08-13
404,MME 3013,New Jersey,39.12,-74.72,1987-09-05,1987-08-12
405,MME 3014,New Jersey,39.05,-74.75,1987-09-06,1987-08-15
406,MME 3015,New Jersey,39.35,-74.53,1987-09-06,1987-08-11
407,MME 3019,New Jersey,39.0,-74.0,1987-09-08,1987-08-11
408,MME 3020,New Jersey,40.07,-74.13,1987-09-12,1987-08-20
409,MME 3033,Virginia,37.33,-76.28,1987-07-27,1987-06-22
410,MME 3034,South Carolina,32.8,-79.75,1987-07-07,1987-06-23
411,MME 3057,North Carolina,35.6392,-75.4711,1987-10-20,1987-09-27
412,MME 3128,North Carolina,35.53,-75.47,1988-01-27,1988-01-09
413,MME 3132,South Carolina,32.75,-79.0,1987-11-23,1987-11-01
414,MME 3134,Virginia,35.2178,-75.5325,1987-09-07,1987-08-23
415,MME 3135,Virginia,36.9975,-76.3758,1987-09-10,1987-08-14
416,MME 3136,Virginia,37.0,-76.4,1987-09-14,1987-08-16
417,MME 3137,Virginia,37.33,-76.28,1987-09-17,1987-08-20
418,MME 3138,Virginia,37.0808,-76.2839,1987-09-27,1987-08-18
419,MME 3139,Virginia,37.6781,-76.3172,1987-10-06,1987-09-14
420,MME 3140,Virginia,36.9672,-76.4158,1987-11-30,1987-11-06
421,MME 3141,North Carolina,35.2183,-75.5192,1987-12-04,1987-11-20
422,MME 3142,North Carolina,35.2,-75.75,1987-12-05,1987-11-17
423,MME 3244,Virginia,37.17,-75.75,1988-03-25,1988-02-19
424,MME 3245,North Carolina,34.85,-76.3,1988-03-28,1988-03-01
425,MME 3250,North Carolina,34.67,-76.92,1988-04-23,1988-03-30
426,MME 3293,North Carolina,34.9,-76.28,1988-03-28,1988-03-09
427,MME 3294,North Carolina,34.9,-76.28,1988-03-28,1988-03-06
428,MME 3295,North Carolina,34.63,-70.63,1988-04-01,1988-03-04
429,MME 3296,North Carolina,34.63,-70.63,1988-04-22,1988-04-02
430,MME 3304,North Carolina,35.5,-75.48,1988-05-27,1988-05-01
431,MME 3308,North Carolina,34.68,-76.63,1987-09-25,1987-09-02
432,MME 3311,North Carolina,35.37,-75.82,1987-09-11,1987-08-21
433,MME 3313,North Carolina,34.57,-76.52,1987-10-04,1987-08-28
434,MME 3316,North Carolina,,,1987-10-07,1987-09-10
435,MME 3319,North Carolina,34.7,-76.75,1987-10-10,1987-09-13
436,MME 3321,North Carolina,34.65,-76.67,1987-10-09,1987-09-03
437,MME 3322,North Carolina,34.62,-76.63,1987-10-09,1987-09-09
438,MME 3323,North Carolina,,,1987-10-08,1987-09-22
439,MME 3324,North Carolina,34.98,-76.32,1987-10-15,1987-09-17
440,MME 3325,North Carolina,33.68,-76.77,1987-10-17,1987-09-15
441,MME 3326,North Carolina,34.6467,-77.0922,1987-10-18,1987-09-30
442,MME 3327,North Carolina,36.1,-75.7,1987-10-14,1987-09-21
443,MME 3331,North Carolina,34.645,-76.525,1987-10-20,1987-09-19
444,MME 3332,North Carolina,34.42,-77.35,1987-10-21,1987-09-21
445,MME 3333,North Carolina,34.6,-76.52,1987-10-24,1987-10-05
446,MME 3336,North Carolina,33.9,-78.08,1987-10-07,1987-09-06
447,MME 3349,North Carolina,34.42,-77.45,1987-11-28,1987-10-24
448,MME 3350,North Carolina,34.705,-76.6917,1987-11-09,1987-10-08
449,MME 3352,North Carolina,35.05,-76.05,1987-11-04,1987-10-14
450,MME 3359,North Carolina,,,1987-11-10,1987-10-19
451,MME 3361,Georgia,31.8625,-80.9889,1987-11-08,1987-09-30
452,MME 3362,Georgia,31.9056,-80.9375,1987-11-07,1987-10-01
