"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"303",306,"MME 2544","New Jersey",38.1617,-74.68,"1987-06-23","1987-06-01",38
"304",307,"MME 2546","New Jersey",39.1264,-74.7,"1987-07-06","1987-06-15",39
"305",308,"MME 2547","New Jersey",39.1944,-75.0283,"1987-07-06","1987-06-01",39
"306",309,"MME 2548","New Jersey",38.9425,-74.8708,"1987-07-07","1987-06-09",39
"307",310,"MME 2549","New Jersey",39.0569,-74.77,"1987-07-08","1987-06-12",39
"308",311,"MME 2550","New Jersey",38.9306,-74.9278,"1987-07-11","1987-06-21",39
"309",312,"MME 2551","New Jersey",39.1453,-74.6958,"1987-07-12","1987-06-24",39
"310",313,"MME 2552","New Jersey",38.9306,-74.9583,"1987-07-13","1987-06-26",39
"311",314,"MME 2563","Virginia",37.5611,-76.2989,"1987-07-28","1987-06-25",38
"312",315,"MME 2568","Maryland",38.4453,-75.0478,"1987-07-29","1987-07-05",38
"313",316,"MME 2570","Maryland",38.27,-75.12,"1987-07-30","1987-07-08",38
"314",317,"MME 2573","Virginia",37.0928,-75.98,"1987-08-01","1987-07-09",37
"315",318,"MME 2586","Virginia",37.6397,-76.4267,"1987-08-04","1987-07-19",38
"316",319,"MME 2588","Virginia",36.9806,-76.3975,"1987-08-04","1987-06-28",37
"319",322,"MME 2610","Virginia",37.0894,-76.2728,"1987-08-07","1987-07-15",37
"323",326,"MME 2680","North Carolina",35.9583,-73.6239,"1987-08-21","1987-07-29",36
"324",327,"MME 2681","North Carolina",36.35,-75.8167,"1987-08-16","1987-07-13",36
"328",331,"MME 2688","South Carolina",32,-79,"1987-08-21","1987-07-30",32
"329",332,"MME 2692","Virginia",36.93,-76.1806,"1987-08-22","1987-07-17",37
"330",333,"MME 2709","North Carolina",34.72,-76.52,"1987-08-25","1987-08-01",35
"335",338,"MME 2720","Virginia",36.7453,-75.9439,"1987-08-30","1987-08-07",37
"336",339,"MME 2738","Virginia",37.38,-76.33,"1987-08-23","1987-07-22",37
"337",340,"MME 2740","Virginia",37,-76,"1987-08-25","1987-08-06",37
"338",341,"MME 2743","North Carolina",35.23,-75.6,"1987-09-03","1987-08-19",35
"339",342,"MME 2752","North Carolina",34.77,-76.68,"1987-09-05","1987-08-17",35
"340",343,"MME 2761","Virginia",37.3778,-76.45,"1987-09-04","1987-08-08",37
"341",344,"MME 2762","Virginia",37.25,-76.45,"1987-09-09","1987-08-18",37
"342",345,"MME 2772","New Jersey",39.3072,-74.5275,"1987-07-20","1987-06-30",39
"343",346,"MME 2773","New Jersey",39.9181,-74.2472,"1987-07-20","1987-06-26",40
"344",347,"MME 2774","New Jersey",38.9292,-74.9167,"1987-07-21","1987-06-29",39
"345",348,"MME 2775","New Jersey",39.0167,-74.9708,"1987-07-21","1987-06-15",39
"346",349,"MME 2776","New Jersey",39.3736,-74.4044,"1987-07-21","1987-06-22",39
"347",350,"MME 2777","New Jersey",39.1,-74.7233,"1987-07-20","1987-06-27",39
"349",352,"MME 2779","New Jersey",38.9903,-74.8,"1987-07-23","1987-07-02",39
"350",353,"MME 2780","New Jersey",39.1,-74.7111,"1987-07-24","1987-07-04",39
"351",354,"MME 2781","New Jersey",38.9556,-74.9667,"1987-07-24","1987-07-04",39
"352",355,"MME 2782","New Jersey",39.3,-74,"1987-07-27","1987-07-06",39
"353",356,"MME 2783","New Jersey",39.2417,-74.6333,"1987-07-25","1987-06-17",39
"354",357,"MME 2785","New Jersey",39.2244,-74.6347,"1987-07-27","1987-07-06",39
"355",358,"MME 2786","New Jersey",39.3028,-74.5667,"1987-07-28","1987-07-12",39
"356",359,"MME 2787","New Jersey",38.9208,-74.9356,"1987-07-28","1987-06-27",39
"357",360,"MME 2788","New Jersey",39.0792,-74.9089,"1987-07-28","1987-06-22",39
"359",362,"MME 2791","New Jersey",36.93,-74,"1987-07-30","1987-06-30",37
"360",363,"MME 2792","New Jersey",39,-74,"1987-07-30","1987-07-09",39
"361",364,"MME 2793","New Jersey",39.02,-74.97,"1987-07-30","1987-06-26",39
"363",366,"MME 2797","New Jersey",38.9389,-74.8861,"1987-08-01","1987-07-02",39
"364",367,"MME 2798","New Jersey",38.9356,-74.8883,"1987-08-01","1987-07-06",39
"365",368,"MME 2799","New Jersey",38.9847,-74.8333,"1987-08-01","1987-07-01",39
"366",369,"MME 2800","New Jersey",39.0806,-74.7333,"1987-08-01","1987-07-01",39
"367",370,"MME 2801","New Jersey",39.05,-74.93,"1987-08-02","1987-07-01",39
"368",371,"MME 2802","New Jersey",39.1333,-74.7033,"1987-08-02","1987-07-06",39
"369",372,"MME 2803","New Jersey",39.2514,-74.6042,"1987-08-03","1987-06-26",39
"370",373,"MME 2804","New Jersey",38.9306,-74.93,"1987-08-03","1987-07-15",39
"371",374,"MME 2805","New Jersey",39.0806,-74.73,"1987-08-04","1987-07-03",39
"373",376,"MME 2807","New Jersey",39.3778,-74.4028,"1987-08-04","1987-07-19",39
"374",377,"MME 2808","New Jersey",39.5389,-74.2517,"1987-08-05","1987-07-18",40
"375",378,"MME 2809","North Carolina",35.0933,-75.9711,"1987-09-16","1987-09-01",35
"376",379,"MME 2822","New Jersey",40.62,-74,"1987-09-19","1987-08-24",41
"377",380,"MME 2878","North Carolina",35.2306,-75.6083,"1987-09-03","1987-08-15",35
"383",386,"MME 2908","North Carolina",34.42,-77.55,"1987-10-26","1987-10-10",34
"384",387,"MME 2987","New Jersey",39.05,-74.75,"1987-08-07","1987-07-05",39
"386",389,"MME 2989","New Jersey",39.03,-74.93,"1987-08-08","1987-07-01",39
"387",390,"MME 2990","New Jersey",39.82,-74.1,"1987-08-08","1987-07-17",40
"388",391,"MME 2991","New Jersey",39,-74.7,"1987-08-09","1987-07-09",39
"389",392,"MME 2992","New Jersey",39.3,-74,"1987-08-09","1987-07-25",39
"390",393,"MME 2993","New Jersey",39.28,-74.57,"1987-08-10","1987-07-17",39
"391",394,"MME 2994","New Jersey",39.82,-74.1,"1987-08-11","1987-07-18",40
"392",395,"MME 2995","New Jersey",39.32,-74.52,"1987-08-12","1987-07-07",39
"393",396,"MME 2996","New Jersey",39.08,-74.73,"1987-08-12","1987-07-20",39
"394",397,"MME 2997","New Jersey",38.93,-74,"1987-08-15","1987-07-28",39
"395",398,"MME 2998","New Jersey",39.12,-74.72,"1987-08-15","1987-07-21",39
"397",400,"MME 3004","New Jersey",39.37,-74.42,"1987-08-19","1987-07-16",39
"398",401,"MME 3007","New Jersey",39.12,-74.72,"1987-08-23","1987-08-03",39
"399",402,"MME 3011","New Jersey",39.08,-74.73,"1987-09-05","1987-08-18",39
"400",403,"MME 3012","New Jersey",39.35,-74.45,"1987-09-05","1987-08-13",39
"401",404,"MME 3013","New Jersey",39.12,-74.72,"1987-09-05","1987-08-12",39
"402",405,"MME 3014","New Jersey",39.05,-74.75,"1987-09-06","1987-08-15",39
"403",406,"MME 3015","New Jersey",39.35,-74.53,"1987-09-06","1987-08-11",39
"404",407,"MME 3019","New Jersey",39,-74,"1987-09-08","1987-08-11",39
"405",408,"MME 3020","New Jersey",40.07,-74.13,"1987-09-12","1987-08-20",40
"406",409,"MME 3033","Virginia",37.33,-76.28,"1987-07-27","1987-06-22",37
