"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"500",519,"MME 6272","Delaware",38.6,-75.07,"1987-08-13","1987-07-08",39
"501",520,"MME 6273","Delaware",38.6,-75.07,"1987-08-14","1987-07-28",39
"502",521,"MME 6274","Delaware",38.8,-75.08,"1987-08-14","1987-07-25",39
"503",522,"MME 6275","Delaware",38.45,-75.05,"1987-08-15","1987-07-30",38
"504",523,"MME 6276","Delaware",38.92,-75.3,"1987-08-15","1987-07-22",39
"505",524,"MME 6277","Delaware",38.92,-75.3,"1987-08-15","1987-07-12",39
"508",527,"MME 6281","Delaware",38.68,-75.08,"1987-08-21","1987-07-19",39
"509",528,"MME 6282","Delaware",38.7,-75.08,"1987-09-12","1987-08-09",39
"510",529,"MME 6283","Delaware",38.68,-75.08,"1987-09-12","1987-08-12",39
"511",530,"MME 6284","Delaware",38.7,-75.08,"1987-09-15","1987-08-15",39
"512",531,"MME 6285","Delaware",38.8,-75.1,"1987-09-16","1987-08-19",39
"513",532,"MME 6286","Delaware",38.88,-75.27,"1987-09-16","1987-08-13",39
"514",533,"MME 6287","Delaware",38.8,-75.1,"1987-09-21","1987-08-31",39
"528",547,"594252","Georgia",30.7375,-81.4569,"1988-01-11","1987-12-22",31
"529",548,"594258","Georgia",30.8472,-81.425,"1987-12-06","1987-11-15",31
"531",550,"594260","Georgia",30.9028,-81.4069,"1987-12-10","1987-11-25",31
"533",552,"594275","Georgia",30.9208,-81.4042,"1988-01-04","1987-12-19",31
"534",553,"594287","Georgia",30.9844,-81.4097,"1987-12-23","1987-12-07",31
"535",554,"594288","Georgia",30.7444,-81.4597,"1987-12-10","1987-11-20",31
"536",555,"594289","Georgia",30.7333,-81.4556,"1987-12-10","1987-11-25",31
"537",556,"594290","Georgia",30.9208,-81.4042,"1987-12-01","1987-11-17",31
"538",557,"594294","Georgia",30.72,-81.45,"1988-05-02","1988-04-13",31
"539",558,"594343","Georgia",30.7375,-81.4569,"1987-03-26","1987-03-08",31
