dolphin_id,sight_date,lat,lon
18,2/26/99,34.679170,-76.654500
18,3/11/99,34.669670,-76.617330
18,3/23/99,34.674670,-76.634830
18,12/16/99,34.620500,-76.540330
18,11/2/00,34.683830,-76.666500
18,1/29/01,34.691500,-76.685500
18,3/24/03,34.673170,-76.623330
18,3/18/04,34.678830,-76.662830
18,3/25/04,34.622670,-76.544670
18,12/2/04,34.686330,-76.671000
18,3/25/05,34.670330,-76.621170
18,4/29/05,34.660830,-76.588830
18,2/2/06,34.673470,-76.629920
18,2/8/06,34.692330,-76.694000
18,2/23/06,34.666330,-76.558830
18,3/31/06,34.673470,-76.629920
19,1/26/96,34.673470,-76.629920
20,1/26/96,34.673470,-76.629920
20,2/11/99,34.674000,-76.631330
21,8/5/93,34.770270,-76.685820
21,10/22/94,34.653120,-76.572430
21,7/16/95,34.864500,-76.691700
21,1/26/96,34.673470,-76.629920
21,4/1/96,34.691220,-76.687220
21,7/21/96,34.625830,-76.542730
21,10/15/96,34.677500,-76.657330
21,10/22/96,34.625830,-76.542730
21,10/25/96,34.676070,-76.669220
21,4/11/97,34.692000,-76.694670
21,8/1/97,34.691670,-76.720000
21,8/4/97,34.763400,-76.677900
21,10/29/97,34.724700,-76.666070
21,3/4/98,34.688330,-76.556720
21,5/6/98,34.724170,-76.667170
21,11/19/98,34.691830,-76.694500
21,9/24/99,34.743300,-76.670270
21,3/3/00,34.692000,-76.700670
21,4/2/00,34.716670,-76.692450
21,7/19/00,35.879280,-75.624930
21,2/14/01,34.704670,-76.672670
21,3/1/01,34.617670,-76.541670
22,4/2/92,34.673470,-76.629920
22,10/22/94,34.653120,-76.572430
22,11/30/94,34.673470,-76.629920
22,1/26/95,34.625830,-76.542730
22,11/6/95,34.691220,-76.687220
22,1/22/96,34.653120,-76.572430
22,2/22/96,34.665330,-76.596330
22,12/14/96,34.665330,-76.596330
22,12/30/96,34.674500,-76.629830
22,1/3/98,34.685670,-76.665670
22,12/16/99,34.620500,-76.540330
23,4/2/92,34.673470,-76.629920
23,3/15/94,34.665330,-76.596330
23,4/2/94,34.665330,-76.596330
23,12/6/94,34.653120,-76.572430
23,12/25/94,34.653120,-76.572430
23,3/13/95,34.673470,-76.629920
23,10/13/95,34.673470,-76.629920
23,1/22/96,34.653120,-76.572430
23,2/7/96,34.673470,-76.629920
23,2/22/96,34.665330,-76.596330
23,2/25/96,34.673470,-76.629920
23,3/14/96,34.625830,-76.542730
23,12/14/96,34.665330,-76.596330
23,12/17/96,34.665330,-76.596330
23,2/3/97,34.673470,-76.629920
23,2/7/97,34.635500,-76.521600
23,12/11/97,34.681500,-76.660330
23,1/3/98,34.685670,-76.665670
23,1/20/99,34.685830,-76.672830
23,2/11/99,34.673470,-76.629920
23,2/26/99,34.679170,-76.654500
23,3/11/99,34.669670,-76.617330
23,3/23/99,34.674670,-76.634830
23,12/16/99,34.620500,-76.540330
23,1/29/01,34.691500,-76.685500
24,11/24/92,34.665330,-76.596330
25,11/18/93,34.665330,-76.596330
25,12/18/93,34.673470,-76.629920
25,10/22/94,34.653120,-76.572430
25,11/30/94,34.673470,-76.629920
25,3/16/95,34.665330,-76.596330
25,4/16/95,34.625830,-76.542730
25,2/10/96,34.673470,-76.629920
25,2/22/96,34.665330,-76.596330
25,12/17/96,34.665330,-76.596330
25,12/22/96,34.665330,-76.596330
25,1/26/97,34.658830,-76.579330
25,2/7/97,34.635500,-76.521600
