,0
0,9
1,7
2,74
3,9
4,7
5,12
6,12
7,7
8,6
9,12
10,8
11,10
12,8
13,13
14,6
15,7
16,8
17,6
18,6
19,6
20,51
21,13
22,20
23,9
24,6
25,9
26,11
27,8
28,6
