,Model,Zone1,Zone2,Zone3,Zone4,Total
0,Start Sep Patch 3,-0.12736050950267094,-0.08822137299628188,0.04101502639374464,0.07141512605791782,-0.025787932511822594
1,Start Sep Patch 3,-0.09339231438039967,-0.08613902219980814,0.019326525256994284,0.1695697684697107,0.0023412392866242956
2,Start Sep Patch 3,-0.06133451860035925,-0.013701653174383927,0.02371908143123562,0.1383628440241249,0.021761438420154336
3,Start Sep Patch 3,-0.04805950018195479,-0.015238159908334176,0.04958195672805054,0.23031316022162324,0.0541493642148462
4,Start Sep Patch 3,-0.18945823571491363,-0.11179841100291041,0.06917355370753343,0.2001003583123263,-0.007995683674491078
5,Start Sep Patch 3,-0.10084267428947329,-0.05109942372047747,0.045185938809625896,0.06746259618734211,-0.009823390753245686
6,Start Sep Patch 3,-0.07050286894438748,-0.03715343847458104,0.07496266785854093,0.31433635127586657,0.07041067792885974
7,Start Sep Patch 3,-0.072331440894559,-0.05042729932994398,0.04868454090499148,0.10609649455999688,0.008005573810121347
8,Start Sep Patch 3,-0.13004484291533086,-0.08668293030760182,0.03357885646458293,0.12546532125396503,-0.014420898876096183
9,Start Sep Patch 3,-0.04769733777776373,-0.019322145983318894,0.06446778993099198,0.15198060904221328,0.03735722880303066
10,Start Sep Patch 3,-0.17801908520035112,-0.1389175601467413,0.055691363300786556,0.20372571317599433,-0.014379892217577885
11,Start Sep Patch 3,-0.1025464173715273,-0.09164062997897982,0.07453536642161832,0.06489113468713008,-0.013690136560439683
12,Start Sep Patch 3,-0.029971867734572756,0.0055131563800055565,-0.00485673817414559,0.16444220914704644,0.03378168990458341
13,Start Sep Patch 3,-0.03382187205683232,0.006533862102082935,0.03541695192498912,0.07285010923889106,0.020244762802282698
14,Start Sep Patch 3,-0.10063851486167226,-0.10532278223609803,0.05494355632902383,0.10465758106059171,-0.011590039927038689
15,Start Sep Patch 3,-0.02625660399748086,0.004853163021045152,-0.007267267809210538,0.14508606591725026,0.029103839282901004
16,Start Sep Patch 3,-0.0973021171328573,-0.08202797387326434,0.027935922058144807,0.06444075326569851,-0.02173835392056958
17,Start Sep Patch 3,-0.03051868128863036,0.0006388238873846214,-0.02479518718714955,0.17607083990928973,0.030348948830223613
18,Start Sep Patch 3,-0.048783307912506624,-0.026780399651887075,0.1543075258416568,0.07787662079967657,0.03915510976923492
19,Start Sep Patch 3,-0.026284891717911044,-0.03371472765148621,-0.0982399388542353,0.06657611617615718,-0.022915860511868846
20,Start Sep Patch 3,-0.07394754867113182,-0.054926874868742,0.039661437937633603,0.2887906343456088,0.049894412185842146
21,Start Sep Patch 3,-0.16497735646003767,-0.1998775552268592,0.06024592037936674,0.09482888215450358,-0.052445027288256646
22,Start Sep Patch 3,-0.055758403320594285,-0.039550209804936474,0.06276981954456232,0.14085937688321198,0.027080145825560883
23,Start Sep Patch 3,-0.20997521899286112,-0.25748633931362946,0.021995090041916132,0.07631192064919094,-0.09228863690384588
24,Start Sep Patch 3,-0.05212913386770008,-0.03742773136669604,0.030182288285387517,0.1107113462603265,0.012834192327829473
25,Start Sep Patch 3,-0.03362807693284554,0.012323448381441034,0.048291761335032615,0.14326980120979127,0.04256423349835484
26,Start Sep Patch 3,-0.1387415730876222,-0.11455227213972789,0.025158791172223673,0.06918810881171074,-0.03973673631085392
27,Start Sep Patch 3,-0.03231832508714236,-0.010476093385301838,0.0006079673002623025,0.12451209995856767,0.020581412196596444
28,Start Sep Patch 3,-0.0953174297225095,-0.06700001654784507,0.056378509545086546,0.10201039080821289,-0.000982136479263783
29,Start Sep Patch 3,-0.027123629101713082,-0.052579238237392655,-0.1874264271968192,0.051030504332160644,-0.054024697550941074
30,Start Sep Patch 3,-0.03906490562507373,-0.043558213235200746,0.13295632371538116,-0.11336524083242856,-0.015758008994330473
31,Start Sep Patch 3,-0.031391192599147646,-0.00255261292037763,-0.026694881274436876,0.15621986494192835,0.02389529453699155
32,Start Sep Patch 3,-0.0564217034534622,-0.05740781485419675,0.04704930488339432,-0.15908886092880128,-0.05646726858826648
33,Start Sep Patch 3,-0.13603243516318186,-0.09107816693567859,0.04944833352539413,0.05803335346280026,-0.029907228777666522
34,Start Sep Patch 3,-0.21624177606770878,-0.11473687943424139,0.029676073126637507,0.20901339681531428,-0.023072296389999594
35,Start Sep Patch 3,-0.1380710361071045,-0.0760754039997779,0.056017504524449147,0.08498024904727175,-0.018287171633790372
36,Start Sep Patch 3,-0.0625759163579806,-0.035879340104895574,0.035128400181406255,0.06195836392633207,-0.00034212308878446215
37,Start Sep Patch 3,-0.06313935767477201,-0.08617635372381449,0.054106786307607804,0.0749160297489118,-0.005073223835516727
38,Start Sep Patch 3,-0.10360799199085963,-0.11904135635440542,0.02871602822466832,0.06416444545057877,-0.03244221866750449
39,Start Sep Patch 3,-0.03541417728231532,0.006899487543795872,0.023673007960405612,0.11133663067186644,0.02662373722343815
40,Start Sep Patch 3,-0.05895443498252734,-0.033936721285253844,0.054147724892666546,0.17029392487985212,0.032887623376184366
41,Start Sep Patch 3,-0.06483102618657491,-0.05260028743583455,0.18563508437668375,0.08033828293795049,0.037135513423056196
42,Start Sep Patch 3,-0.025759302865370606,0.01800429427042818,0.057934702175011836,0.05205297827045753,0.025558167962631734
43,Start Sep Patch 3,-0.054815120905793886,-0.021004338107679026,0.02833445972515473,0.0871938588559295,0.009927214891902833
44,Start Sep Patch 3,-0.10991679355680595,-0.0949389433556345,0.026861984126301256,0.07210956401349486,-0.02647104719316109
45,Start Sep Patch 3,-0.04992401295188475,-0.021904624463204802,0.03261386071682528,0.08429328476826681,0.011269627017500635
46,Start Sep Patch 3,-0.13294732156795677,-0.11038851831850571,0.03195716291546692,0.1134841757383209,-0.024473625308168663
47,Start Sep Patch 3,-0.0852411525139363,-0.06901368717915488,0.11790307847881716,0.08015004508795283,0.010949570968419704
48,Start Sep Patch 3,-0.026304961931371367,-0.008020210975307026,-0.06846327284968576,0.13435536262468534,0.007891729217080298
49,Start Sep Patch 3,-0.14186447417824477,-0.12084569208867778,0.033558607556534684,0.2092517999034532,-0.004974939701733676
50,Start Sep Patch 3,-0.09470621943311279,-0.05234674035116131,0.13008782744429184,0.09720654320575203,0.020060352716442444
51,Start Sep Patch 3,-0.052343875808699265,-0.01128115024657808,0.023558230315438005,0.061534273293768184,0.005366869388482213
52,Start Sep Patch 3,-0.29958596460260556,-0.2615723174905206,0.08601720512663165,0.3716459085421972,-0.02587379210607435
53,Start Sep Patch 3,-0.07905965511198097,-0.023896650720569672,0.02620053143671222,0.1122043043891868,0.008862132498337096
54,Start Sep Patch 3,-0.07200016333777587,-0.033708126858907915,0.014428379067035712,0.1718210141735589,0.02013527576097771
55,Start Sep Patch 3,-0.056758024923472004,-0.0147505377501186,0.03413850199891948,0.05378611816569554,0.004104014372756105
56,Start Sep Patch 3,-0.055320645984697395,-0.019371207817626853,0.11129675283996707,0.04009451531638852,0.01917485358850783
57,Start Sep Patch 3,-0.030796537836660517,0.0009636181419798623,-0.008447338183842815,0.06787995787854495,0.007399925000005369
58,Start Sep Patch 3,-0.05264262824364823,-0.02328300668146383,0.05437729385231093,0.22673880166379706,0.051297615147748984
59,Start Model Patch 2,0.4649486345485115,0.9031094190767718,0.45341194011698205,0.6507779234938795,0.6180619793090363
60,Start Model Patch 2,0.6226781455842965,0.9173727902253469,0.4081806556150495,0.5980007246101426,0.6365580790087089
61,Start Model Patch 2,0.7707263430075881,0.8813288367647197,0.3754740239297163,0.6744077332541477,0.675484234239043
62,Start Model Patch 2,0.8226881863464568,0.9295458690098425,0.43694835115610403,0.5935864106267831,0.6956922042847965
63,Start Model Patch 2,0.7427480934421522,0.848003533700486,0.41060765415171124,0.6676564430150396,0.6672539310773473
64,Start Model Patch 2,0.8288887080567529,0.7437100575017653,0.35598272651303503,0.6572186206579298,0.6464500281823707
65,Start Model Patch 2,0.6642639134935621,0.9345870939076036,0.3986770964748009,0.6879780496995546,0.6713765383938802
66,Start Model Patch 2,-0.05515863374164119,-0.13114281354251375,0.22050991589805408,0.11234462682733294,0.03663827386030802
67,Start Model Patch 2,0.8551600056178545,0.879469830030865,0.2905820168964737,0.6079584261862787,0.658292569682868
68,Start Model Patch 2,0.4142254883547368,0.9277271153110945,0.4013020684453034,0.5872301225443041,0.5826211986638598
69,Start Model Patch 2,0.7889570553798151,0.9218136469673882,0.28409933098168116,0.6455669793036297,0.6601092531581285
70,Start Model Patch 2,0.8676977731858454,0.8272074823987279,0.47763477412969396,0.6742534192514859,0.7116983622414382
71,Start Model Patch 2,0.5585792407297121,0.9067218686218484,0.5137227542996364,0.6647704219817681,0.6609485714082413
72,Start Model Patch 2,0.8509427865755115,0.7254509546212715,0.36842659800366956,0.6723685738594409,0.6542972282649734
73,Start Model Patch 2,0.8446580532720818,0.8580398248791951,0.2645598083025542,0.6838808601473836,0.6627846366503036
74,Start Model Patch 2,0.23344399541562577,0.509293675540439,0.4842965981309367,0.6845530946275626,0.47789684092864104
75,Start Model Patch 2,0.4004160510384252,0.9086074242554156,0.37692196683570695,0.6460966634496471,0.5830105263947987
76,Start Model Patch 2,0.7989777699553865,0.9176443379582817,0.39491795657001366,0.6611011667060034,0.6931603077974213
