,Follow_ID,Dolphin_ID,Demo,Demo_Confidence,Degree,AM_deg,AF_deg,AFNN_deg,AFNNN_deg,JX_deg,low_AM_deg,low_AF_deg,low_JX_deg,Follow_length,Date,Number_Syncs,Group_Size,Year
58,F000063,PC00794,AFNNN,High,1,0,0,0,1,0,0,0,0,40,2018-06-07,2.0,8,2018
59,F000064,PC00899,AM,Low,2,2,0,0,0,0,2,0,0,121,2018-07-03,40.0,3,2018
60,F000065,PC00883,AM,Low,0,0,0,0,0,0,0,0,0,33,2018-07-09,0.0,15,2018
61,F000066,PC00250,AM,High,2,2,0,0,0,0,0,0,0,60,2018-07-28,12.0,3,2018
62,F000067,PC00397,AFNN,High,0,0,0,0,0,0,0,0,0,60,2018-08-13,0.0,2,2018
63,F000068,PC00619,AM,High,0,0,0,0,0,0,0,0,0,20,2018-07-03,0.0,15,2018
64,F000069,PC00567,AFNNN,High,0,0,0,0,0,0,0,0,0,30,2016-07-24,0.0,2,2016
65,F000071,PC00281,AM,High,0,0,0,0,0,0,0,0,0,10,2015-07-26,0.0,30,2015
66,F000072,PC00384,AFNNN,High,0,0,0,0,0,0,0,0,0,10,2015-07-26,0.0,30,2015
67,F000073,PC00522,AF,Low,0,0,0,0,0,0,0,0,0,10,2015-07-26,0.0,5,2015
68,F000074,PC00096,AM,High,3,2,0,0,0,1,1,0,1,10,2015-09-15,4.0,38,2015
69,F000075,PC00535,AM,High,2,1,1,0,0,0,0,0,0,10,2015-09-15,2.0,38,2015
70,F000077,PC00535,AM,High,1,1,0,0,0,0,0,0,0,15,2020-09-04,1.0,6,2020
71,F000078,PC00238,AM,High,2,2,0,0,0,0,0,0,0,15,2020-09-13,6.0,3,2020
72,F000081,PC00301,AFNNN,High,1,1,0,0,0,0,0,0,0,20,2020-09-16,3.0,30,2020
73,F000082,T00108,AFNNN,High,0,0,0,0,0,0,0,0,0,15,2022-07-29,0.0,45,2022
74,F000083,T00110,AFNN,High,2,0,2,0,0,0,0,1,0,17,2022-06-21,4.0,20,2022
75,F000084,PC00150,AM,High,0,0,0,0,0,0,0,0,0,15,2022-07-23,0.0,30,2022
76,F000085,T00103,JX,High,2,0,0,0,0,2,0,0,2,30,2022-07-28,12.0,5,2022
