,Model,Zone1,Zone2,Zone3,Zone4,Total
0,start_p1_May1-10,1.034236758070213,2.183570788314642,0.42447460949335747,0.6745308293217952,4.316812985200008
1,start_p1_May1-10,1.734227039417932,2.165497893005472,0.4194881104841766,0.6865477345135547,5.005760777421136
2,start_p1_May1-10,1.264340965667399,2.188507952141467,0.3843153271646542,0.816992519123614,4.654156764097134
3,start_p1_May1-10,1.2767955343126347,2.2240180076210003,0.3701527780499918,0.7904402586022994,4.661406578585925
4,start_p1_May1-10,1.2694476963164216,2.165911864056445,0.4525614524340179,0.6661684203931583,4.554089433200042
5,start_p1_May1-10,1.113823843637252,2.2398134141395105,0.41762642736872446,0.8238799875561104,4.595143672701598
6,start_p1_May1-10,1.275581737352639,2.23908218045365,0.36310377450952497,0.7851815056913319,4.662949198007146
7,start_p1_May1-10,1.3107646259328245,2.3549519267449552,0.4391908576446679,0.8229724702119943,4.927879880534443
8,start_p1_May1-10,1.304884240575122,2.176629016448974,0.43346008506193895,0.8157549521551398,4.730728294241175
9,start_p1_May1-10,1.3285806661066035,1.998997423836615,0.3451401191418842,1.16832882005966,4.841047029144763
10,start_p1_May1-10,1.0187927692739043,2.1449328336340288,0.4205439151277246,0.6896230168435061,4.273892534879163
11,start_p1_May1-10,1.0650391651119822,2.3353968673736727,0.38007420624843047,1.037718016584553,4.818228255318639
12,start_p1_May1-10,1.30832606284262,2.1824206956553067,0.44872274400383033,0.7317255517692952,4.6711950542710525
13,start_p1_May1-10,1.5268564356076846,2.1780908471191287,0.30735810635294347,0.8385498653034841,4.850855254383241
14,start_p1_May1-10,1.1177096292252353,2.3325349676738076,0.4072744557201304,0.8702295418406859,4.727748594459859
15,start_p1_May1-10,1.434909077285689,1.9833786320580513,0.38750838427257867,1.1571241399381171,4.962920233554437
16,start_p1_May1-10,1.227877705909089,2.134633832248866,0.3841534239155906,0.51925605917267,4.265921021246216
17,start_p1_May1-10,1.2052025702662241,2.1800275344075466,0.44676689154079585,0.7642857206457929,4.59628271686036
18,start_p1_May1-10,1.0356915732365768,2.254740490786232,0.36330577976075384,0.8224893860442443,4.476227229827807
19,start_p1_May1-10,1.2429429614720369,2.214664631291593,0.34494834900158494,0.7770983932003126,4.579654334965528
20,start_p1_May1-10,1.3612727088709609,2.2035577520062612,0.4610765037867139,0.8190502387225473,4.844957203386484
