,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Control,0.511,-0.15,0.731,0.21,0.423,-0.232,0.913,0.297,0.706,-0.23,0.955,0.342,0.414,-0.091,0.635,0.171,0.501,-0.069,0.73,0.205
1,Environ,0.307,-0.15,0.683,0.187,0.035,-0.201,0.676,0.196,0.473,-0.193,0.955,0.332,0.307,-0.159,0.667,0.22,0.414,-0.097,0.718,0.186
2,SocBeh,0.561,-0.162,0.745,0.211,0.507,-0.264,0.943,0.309,0.72,-0.246,0.947,0.3,0.479,-0.16,0.629,0.188,0.539,-0.1,0.731,0.2
