,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Control,3.797,2.969,7.19,0.774,1.318,0.973,2.013,0.226,1.291,0.785,3.243,0.481,0.472,0.336,1.877,0.212,0.717,0.478,1.78,0.178
1,Environ,4.792,2.594,8.099,1.06,1.827,1.011,2.678,0.314,1.661,0.695,2.884,0.531,0.436,0.293,1.896,0.282,0.868,0.495,2.073,0.335
2,SocBeh,3.553,2.725,8.053,1.074,1.29,0.795,2.372,0.291,1.249,0.689,2.6,0.431,0.448,0.311,2.325,0.381,0.566,0.35,1.963,0.275
