,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Control,3.881,2.731,7.439,0.845,1.616,0.727,2.473,0.401,1.181,0.703,3.36,0.505,0.454,0.342,1.91,0.228,0.629,0.304,1.859,0.219
1,Environ,5.466,3.101,8.418,0.979,2.356,1.476,2.806,0.314,1.603,0.513,3.012,0.541,0.516,0.344,2.009,0.286,0.991,0.304,2.186,0.376
2,SocBeh,3.82,2.423,8.176,1.111,1.601,0.566,2.711,0.481,1.127,0.586,2.619,0.452,0.485,0.356,2.382,0.388,0.607,0.236,2.087,0.316
