,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Null1,4.577,2.916,8.635,1.205,1.766,1.079,2.536,0.382,1.4,0.764,2.84,0.487,0.464,0.31,2.425,0.296,0.948,0.461,2.345,0.377
1,Null2,3.856,3.181,5.966,0.579,1.587,1.234,1.893,0.144,1.312,0.769,2.294,0.381,0.409,0.297,0.89,0.135,0.548,0.332,1.21,0.183
2,Null3,3.807,3.111,7.534,0.721,1.571,1.31,1.95,0.13,1.245,0.711,2.524,0.411,0.419,0.289,1.857,0.223,0.572,0.362,1.558,0.209
3,SocBeh,3.553,2.725,8.053,1.074,1.29,0.795,2.372,0.291,1.249,0.689,2.6,0.431,0.448,0.311,2.325,0.381,0.566,0.35,1.963,0.275
