,Zone1,Zone2,Zone3,Zone4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0009191176470588235,0.0,0.0
50,0.0,0.004595588235294118,0.0,0.0
51,0.0,0.011029411764705883,0.0,0.0
52,0.0,0.02665441176470588,0.0,0.0
53,0.0,0.05606617647058824,0.0,0.0
54,0.0009191176470588235,0.12408088235294118,0.0,0.0
55,0.0027573529411764708,0.2509191176470588,0.0,0.0
56,0.009191176470588236,0.46691176470588236,0.0,0.0
57,0.017463235294117647,0.7233455882352942,0.0009191176470588235,0.0
58,0.03676470588235294,0.9375,0.004595588235294118,0.0009191176470588235
59,0.0744485294117647,1.0,0.013786764705882353,0.004595588235294118
60,0.14338235294117646,0.9117647058823529,0.02849264705882353,0.015625
61,0.23345588235294118,0.7196691176470589,0.051470588235294115,0.03216911764705882
62,0.3446691176470588,0.5349264705882353,0.08363970588235294,0.06341911764705882
63,0.42463235294117646,0.3713235294117647,0.13419117647058823,0.125
64,0.45955882352941174,0.2757352941176471,0.19209558823529413,0.21691176470588236
