,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Control,0.434,-0.149,0.636,0.172,0.622,-0.282,0.831,0.262,0.685,-0.183,0.954,0.34,0.116,-0.074,0.4,0.073,0.311,-0.116,0.7,0.185
1,Environ,0.416,-0.177,0.65,0.186,0.369,-0.319,0.877,0.326,0.45,-0.19,0.933,0.326,0.309,-0.202,0.499,0.129,0.535,-0.115,0.717,0.199
2,SocBeh,0.544,-0.173,0.689,0.183,0.684,-0.375,0.866,0.287,0.689,-0.261,0.94,0.298,0.22,-0.248,0.487,0.11,0.584,-0.122,0.716,0.17
