,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Null1,0.511,-0.178,0.692,0.168,0.559,-0.265,0.878,0.289,0.628,-0.166,0.923,0.298,0.302,-0.299,0.476,0.122,0.557,-0.125,0.711,0.163
1,Null2,0.493,0.271,0.585,0.074,0.203,-0.351,0.564,0.183,0.727,0.343,0.929,0.16,0.449,0.297,0.52,0.048,0.593,0.346,0.717,0.089
2,Null3,0.478,0.232,0.616,0.085,0.166,-0.314,0.556,0.215,0.74,-0.057,0.937,0.199,0.419,0.187,0.496,0.06,0.587,0.27,0.678,0.084
3,SocBeh,0.544,-0.173,0.689,0.183,0.684,-0.375,0.866,0.287,0.689,-0.261,0.94,0.298,0.22,-0.248,0.487,0.11,0.584,-0.122,0.716,0.17
