,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Null1,5.257,3.152,9.182,1.25,2.377,1.251,2.987,0.394,1.322,0.629,2.956,0.526,0.503,0.338,2.364,0.306,1.056,0.304,2.489,0.413
1,Null2,4.185,3.428,6.131,0.598,1.865,1.55,2.361,0.224,1.257,0.767,2.239,0.359,0.468,0.337,0.983,0.151,0.595,0.273,1.368,0.243
2,Null3,4.1,3.448,7.806,0.727,1.819,1.546,2.433,0.236,1.192,0.731,2.579,0.397,0.483,0.327,1.948,0.23,0.607,0.271,1.732,0.263
3,SocBeh,3.82,2.423,8.176,1.111,1.601,0.566,2.711,0.481,1.127,0.586,2.619,0.452,0.485,0.356,2.382,0.388,0.607,0.236,2.087,0.316
