,Model,Zone1,Zone2,Zone3,Zone4,Total
0,start_p1_May1-10,0.8223209557848706,0.06349262919050853,0.1888287195298516,0.517745202669897,0.398096876793782
1,start_p1_May1-10,0.4169120848483652,0.02950638989450967,0.22577456620444197,0.5151399500019291,0.2968332477373115
2,start_p1_May1-10,0.7067006218976282,0.015005524899081748,0.30971153901679194,0.5665082290102156,0.3994814787059293
3,start_p1_May1-10,0.7187678451890556,0.020084460867876887,0.307578484699361,0.6448623217803359,0.4228232781341573
4,start_p1_May1-10,0.7182184698827245,0.03211511888592938,0.18370482246206263,0.5431281962503521,0.3692916518702672
5,start_p1_May1-10,0.8050683651597869,0.04470224201342904,0.22822305642448168,0.3675661276549846,0.3613899478131705
6,start_p1_May1-10,0.7276039342678138,0.054198574612180715,0.27481867409041527,0.5809266312896859,0.4093869535650239
7,start_p1_May1-10,0.7280684085637926,0.02097322556564858,0.2080084577320736,0.40754865659469836,0.3411496871140533
8,start_p1_May1-10,0.7069978988596984,0.060023384191086826,0.15404724856088897,0.23932255660375026,0.2900977720538561
9,start_p1_May1-10,0.6886589316187699,-0.01565924335903462,0.3991864690743792,0.6776482196056103,0.43745859423493116
10,start_p1_May1-10,0.8200093518380117,0.05612653414060987,0.18144901757159693,0.4678215561175941,0.38135161491695313
11,start_p1_May1-10,0.8208430585821097,0.006681777936195528,0.3466127944651654,0.5000873860995669,0.4185562542707594
12,start_p1_May1-10,0.6987477189574149,0.07527514658467663,0.11597800274889807,0.39650702804863375,0.3216269740849058
13,start_p1_May1-10,0.5605725619940274,0.009465788957569662,0.5263929748759304,0.6720363205729462,0.44211691160011846
14,start_p1_May1-10,0.8181448700940909,0.03712265873098092,0.2628840869791756,0.5469848342587701,0.41628411251575437
15,start_p1_May1-10,0.6208901057242212,-0.018356408511007328,0.41318964724422086,0.6986515322069101,0.42859371916608624
16,start_p1_May1-10,0.6885705786489554,0.04751030679354741,0.2399904950672752,0.6648425094091235,0.4102284724797254
17,start_p1_May1-10,0.7265836993537286,0.03370581618281395,0.1845484760014103,0.3632337682694055,0.3270179399518396
18,start_p1_May1-10,0.8331438077201921,0.03413692057239989,0.31593557559887886,0.6234090189045766,0.4516563306990119
19,start_p1_May1-10,0.7209076441065689,0.010256767864463116,0.38613072984972996,0.6596568378059489,0.44423799490667776
20,start_p1_May1-10,0.6888624898789956,0.07702191953630842,0.1422051160488861,0.2729149160294164,0.2952511103734016
21,start_p1_May1-10,0.7894762807731165,0.023507268513202062,0.39950823535467583,0.6138846938506959,0.45659411962292257
22,start_p1_May1-10,0.807258102679235,0.05343309266578186,0.2662527509564657,0.6782744017568125,0.4513045870145738
23,start_p1_May1-10,0.7259398492807355,0.023606338120922842,0.26800638827384,0.34912668620429615,0.3416698154699486
24,start_p1_May1-10,0.7673500499053414,0.030648315533704312,0.20272622084860933,0.29626134004949406,0.32424648158428726
25,start_p1_May1-10,0.820189912578429,0.04170483009457921,0.22864648379415567,0.6056574592641869,0.42404967143283767
26,start_p1_May1-10,0.653305577614742,0.04251481284292051,0.17291595066493515,0.5437715897055266,0.353126982707031
27,start_p1_May1-10,0.8283763071221902,0.0336291679356547,0.31312348483520686,0.6273200959087792,0.4506122639504578
28,start_p1_May1-10,0.6981971387680577,0.07020992492302047,0.21247227253679535,0.34428521250287336,0.3312911371826867
29,start_p1_May1-10,0.7908606566796137,0.06524123258670443,0.15119246011493076,0.45606433126687873,0.3658396701620319
30,start_p1_May1-10,0.6950228604538814,0.05012590931424554,0.2989061416070321,0.609227690384494,0.41332065043991323
31,start_p1_May1-10,0.821948279148216,0.03581971748048809,0.17758760093121698,0.5297805004521722,0.39128402450302335
32,start_p1_May1-10,0.5540724103544629,0.028706908089574764,0.27272197628427086,0.6298015962070741,0.3713257227338457
33,start_p1_May1-10,0.708017276772424,0.05451885638749323,0.26532774606462695,0.4949310824793332,0.38069874042596935
34,start_p1_May1-10,0.7245657398733469,0.06773411541817409,0.16479341214817653,0.4612879578766717,0.3545953063290923
35,start_p1_May1-10,0.5961462791155927,0.04962586052424348,0.287717250486319,0.5732844935894331,0.37669347092889705
36,start_p1_May1-10,0.7259021975011153,0.016945062149842146,0.2243506683467415,0.47445413161446603,0.36041301490304123
