,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Null1,0.446,-0.152,0.715,0.2,0.2,-0.321,0.823,0.28,0.655,-0.227,0.95,0.313,0.402,-0.183,0.619,0.191,0.527,-0.094,0.713,0.181
1,Null2,0.407,0.174,0.538,0.083,-0.103,-0.337,0.037,0.062,0.752,0.407,0.924,0.139,0.444,0.06,0.649,0.147,0.535,0.258,0.702,0.124
2,Null3,0.408,0.118,0.538,0.097,-0.111,-0.298,0.04,0.063,0.762,-0.088,0.931,0.187,0.4,-0.0,0.675,0.171,0.579,0.216,0.719,0.134
3,SocBeh,0.561,-0.162,0.745,0.211,0.507,-0.264,0.943,0.309,0.72,-0.246,0.947,0.3,0.479,-0.16,0.629,0.188,0.539,-0.1,0.731,0.2
