,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,start_p1_May1-10,0.385,0.29,0.461,0.045,0.724,0.417,0.833,0.085,0.036,-0.018,0.077,0.021,0.263,0.116,0.526,0.089,0.518,0.239,0.699,0.119
1,start_p1_May11-20,0.409,0.324,0.492,0.038,0.763,0.492,0.838,0.075,0.033,-0.029,0.07,0.019,0.276,0.118,0.504,0.097,0.561,0.278,0.7,0.108
2,start_p1_May21-31,0.413,0.238,0.502,0.043,0.713,0.415,0.824,0.085,0.019,-0.162,0.076,0.03,0.331,0.124,0.536,0.105,0.59,0.326,0.712,0.097
3,start_p2_May1-10,0.47,-0.103,0.611,0.103,0.665,-0.187,0.834,0.201,0.699,-0.182,0.955,0.285,0.145,-0.143,0.513,0.087,0.372,-0.111,0.696,0.176
4,start_p2_May11-20,0.43,-0.145,0.597,0.152,0.451,-0.258,0.82,0.259,0.743,-0.196,0.955,0.306,0.148,-0.226,0.495,0.101,0.378,-0.12,0.73,0.207
5,start_p2_May21-31,0.406,-0.108,0.59,0.104,0.225,-0.217,0.71,0.238,0.734,-0.096,0.947,0.223,0.208,-0.103,0.444,0.087,0.456,-0.119,0.717,0.174
6,start_p1_June1-10,0.418,0.293,0.476,0.04,0.611,0.46,0.803,0.074,0.004,-0.112,0.051,0.023,0.414,0.175,0.536,0.094,0.643,0.383,0.713,0.081
7,start_p1_June11-20,0.394,0.192,0.451,0.06,0.535,0.34,0.65,0.064,-0.015,-0.167,0.031,0.041,0.421,0.233,0.556,0.077,0.633,0.236,0.704,0.104
8,start_p1_June21-31,0.343,0.193,0.444,0.08,0.443,0.109,0.58,0.097,-0.04,-0.149,0.025,0.051,0.383,0.222,0.516,0.09,0.586,0.31,0.71,0.132
9,start_p2_June1-10,0.331,0.195,0.532,0.078,-0.001,-0.249,0.484,0.217,0.492,0.072,0.879,0.231,0.257,0.066,0.447,0.076,0.577,0.162,0.725,0.148
10,start_p2_June11-20,0.278,0.154,0.472,0.085,-0.067,-0.258,0.483,0.194,0.265,-0.073,0.748,0.188,0.268,0.072,0.431,0.069,0.645,0.379,0.735,0.081
11,start_p2_June21-31,0.23,0.105,0.38,0.051,-0.144,-0.241,0.418,0.109,0.126,-0.048,0.353,0.1,0.279,0.126,0.464,0.075,0.659,0.232,0.734,0.089
