,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,start_p1_May1-10,4.645,4.206,5.303,0.216,1.246,1.012,1.734,0.151,2.208,1.983,2.355,0.074,0.398,0.307,0.479,0.04,0.793,0.519,1.233,0.128
1,start_p1_May11-20,4.541,4.102,5.644,0.258,1.169,0.987,1.717,0.15,2.205,1.98,2.313,0.068,0.395,0.315,0.541,0.05,0.773,0.52,1.406,0.138
2,start_p1_May21-31,4.685,4.141,5.537,0.254,1.265,1.011,1.801,0.154,2.201,1.964,2.363,0.087,0.377,0.304,0.504,0.048,0.842,0.505,1.315,0.158
3,start_p2_May1-10,3.763,3.088,7.068,0.642,1.306,1.006,2.125,0.259,1.279,0.784,2.567,0.392,0.448,0.318,1.85,0.152,0.73,0.455,1.584,0.159
4,start_p2_May11-20,3.942,3.134,7.594,0.711,1.606,1.056,2.386,0.288,1.196,0.765,2.413,0.408,0.457,0.318,2.049,0.221,0.683,0.415,1.761,0.157
5,start_p2_May21-31,4.251,3.419,6.38,0.55,1.834,1.306,2.294,0.217,1.277,0.802,2.9,0.406,0.419,0.311,0.734,0.06,0.721,0.465,1.446,0.164
6,start_p1_June1-10,4.907,4.398,5.521,0.243,1.443,1.073,1.712,0.128,2.146,1.96,2.314,0.088,0.36,0.301,0.523,0.048,0.958,0.665,1.507,0.18
7,start_p1_June11-20,5.047,4.634,5.772,0.25,1.556,1.334,1.882,0.107,2.079,1.956,2.282,0.101,0.369,0.301,0.533,0.062,1.043,0.719,1.406,0.172
8,start_p1_June21-31,5.241,4.748,6.039,0.295,1.689,1.491,2.04,0.125,2.038,1.956,2.247,0.082,0.413,0.309,0.677,0.085,1.101,0.749,1.474,0.181
9,start_p2_June1-10,4.766,3.865,5.721,0.413,1.846,1.587,2.259,0.226,1.693,0.958,2.441,0.405,0.44,0.331,0.661,0.08,0.787,0.524,1.148,0.153
10,start_p2_June11-20,5.069,4.02,6.349,0.424,1.772,1.589,2.303,0.219,2.038,1.269,2.594,0.307,0.456,0.324,0.81,0.092,0.802,0.445,1.483,0.209
11,start_p2_June21-31,5.378,4.789,6.22,0.311,1.691,1.591,2.273,0.203,2.283,1.838,2.594,0.19,0.491,0.315,0.708,0.093,0.913,0.478,1.349,0.168
