week,patch_1,patch_2,patch_3,patch_4
0,0.07692307692307693,0.0,0.0,0.05128205128205128
1,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128
2,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.0
3,0.07692307692307693,0.1282051282051282,0.07692307692307693,0.02564102564102564
4,0.0,0.1794871794871795,0.07692307692307693,0.0
5,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.02564102564102564
6,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.02564102564102564
7,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128
8,0.20512820512820512,0.02564102564102564,0.0,0.02564102564102564
9,0.1794871794871795,0.0,0.0,0.02564102564102564
10,0.1794871794871795,0.05128205128205128,0.02564102564102564,0.0
11,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.02564102564102564
12,0.07692307692307693,0.05128205128205128,0.0,0.02564102564102564
13,0.1282051282051282,0.05128205128205128,0.05128205128205128,0.0
14,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128
15,0.1794871794871795,0.10256410256410256,0.02564102564102564,0.0
16,0.07692307692307693,0.38461538461538464,0.0,0.0
17,0.2564102564102564,0.28205128205128205,0.0,0.02564102564102564
18,0.3333333333333333,0.5128205128205128,0.0,0.0
19,0.38461538461538464,0.5897435897435898,0.0,0.02564102564102564
20,0.8205128205128205,1.0,0.0,0.02564102564102564
21,0.5641025641025641,0.9487179487179487,0.0,0.05128205128205128
22,0.28205128205128205,0.6410256410256411,0.0,0.05128205128205128
23,0.38461538461538464,0.48717948717948717,0.05128205128205128,0.0
24,0.358974358974359,0.15384615384615385,0.0,0.05128205128205128
25,0.3076923076923077,0.23076923076923078,0.02564102564102564,0.07692307692307693
26,0.41025641025641024,0.20512820512820512,0.02564102564102564,0.0
27,0.3333333333333333,0.23076923076923078,0.02564102564102564,0.0
28,0.4358974358974359,0.15384615384615385,0.0,0.0
29,0.10256410256410256,0.07692307692307693,0.07692307692307693,0.0
30,0.15384615384615385,0.05128205128205128,0.0,0.02564102564102564
31,0.07692307692307693,0.1794871794871795,0.1282051282051282,0.15384615384615385
32,0.1282051282051282,0.1794871794871795,0.10256410256410256,0.1282051282051282
33,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.1794871794871795
34,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.20512820512820512
35,0.0,0.10256410256410256,0.07692307692307693,0.07692307692307693
36,0.0,0.05128205128205128,0.05128205128205128,0.15384615384615385
37,0.0,0.05128205128205128,0.10256410256410256,0.15384615384615385
38,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.10256410256410256
39,0.02564102564102564,0.0,0.0,0.0
40,0.0,0.02564102564102564,0.0,0.02564102564102564
41,0.0,0.0,0.02564102564102564,0.0
42,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564
43,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564
44,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128
45,0.0,0.0,0.07692307692307693,0.0
46,0.0,0.0,0.02564102564102564,0.07692307692307693
47,0.0,0.02564102564102564,0.05128205128205128,0.07692307692307693
48,0.0,0.02564102564102564,0.0,0.05128205128205128
49,0.0,0.0,0.0,0.05128205128205128
50,0.0,0.05128205128205128,0.05128205128205128,0.02564102564102564
51,0.02564102564102564,0.0,0.0,0.05128205128205128
52,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564
53,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693
54,0.0,0.02564102564102564,0.10256410256410256,0.1282051282051282
55,0.0,0.02564102564102564,0.05128205128205128,0.07692307692307693
56,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.07692307692307693
57,0.02564102564102564,0.05128205128205128,0.0,0.07692307692307693
58,0.07692307692307693,0.07692307692307693,0.0,0.0
59,0.02564102564102564,0.15384615384615385,0.0,0.05128205128205128
60,0.05128205128205128,0.15384615384615385,0.0,0.05128205128205128
61,0.05128205128205128,0.15384615384615385,0.0,0.02564102564102564
62,0.07692307692307693,0.0,0.02564102564102564,0.0
63,0.07692307692307693,0.05128205128205128,0.0,0.0
64,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.07692307692307693
65,0.05128205128205128,0.1282051282051282,0.0,0.02564102564102564
66,0.07692307692307693,0.0,0.0,0.0
67,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128
68,0.0,0.05128205128205128,0.0,0.02564102564102564
69,0.05128205128205128,0.07692307692307693,0.0,0.0
70,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564
71,0.02564102564102564,0.0,0.0,0.02564102564102564
72,0.02564102564102564,0.02564102564102564,0.0,0.0
73,0.02564102564102564,0.02564102564102564,0.0,0.0
74,0.0,0.02564102564102564,0.0,0.02564102564102564
75,0.0,0.0,0.0,0.02564102564102564
76,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564
77,0.0,0.0,0.0,0.02564102564102564
78,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564
79,0.0,0.07692307692307693,0.02564102564102564,0.0
