,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
28,Full,SE-2010-1108657,GA,32.01291,Ð80.84101,2010-02-11,2010-01-12,MALE,PUP/CALF
38,Full,NE-2011-1133844,VA,37.137286,Ð75.972286,2011-07-13,2011-06-13,MALE,UNKNOWN
56,Full,SE-2012-1139668,NC,35.95288,Ð75.63326,2012-05-02,2012-03-26,MALE,SUBADULT
82,Full,SE-2010-1114897,SC,32.57674,Ð80.19391,2010-05-05,2010-04-08,FEMALE,YEARLING
87,Full,SE-2012-1139809,NC,35.96124,Ð75.64078,2012-03-07,2012-02-13,MALE,SUBADULT
91,Full,NE-2012-1139818,VA,36.67398,Ð75.91292,2012-03-06,2012-02-04,UNKNOWN,UNKNOWN
93,Full,NE-2010-1122579,NJ,40.4707,Ð74.017412,2010-07-28,2010-07-02,FEMALE,ADULT
104,Full,SE-2010-1107073,NC,35.101067,Ð75.96205,2010-02-22,2010-02-08,FEMALE,SUBADULT
114,Full,SE-2010-1105249,GA,31.3795,Ð81.2753,2010-01-28,2009-12-20,MALE,UNKNOWN
138,Full,SE-2010-1107091,SC,32.65813,Ð79.97064,2010-02-18,2010-01-19,FEMALE,ADULT
145,Full,NE-2010-1104659,DE,38.135833,Ð75.181111,2010-01-09,2009-12-20,FEMALE,ADULT
169,Full,SE-2010-1107259,SC,32.83487,Ð79.73907,2010-02-27,2010-02-01,MALE,SUBADULT
188,Full,SE-2010-1106331,SC,32.20945,Ð80.85098,2010-01-27,2010-01-06,MALE,SUBADULT
210,Full,SE-2010-1108059,NC,34.87365,Ð76.3686,2010-03-13,2010-02-12,FEMALE,ADULT
213,Full,SE-2010-1107973,SC,32.35063,Ð80.80454,2010-03-05,2010-02-05,MALE,ADULT
237,Full,SE-2010-1106549,SC,32.1829,Ð80.78406,2010-02-06,2010-01-11,MALE,SUBADULT
239,Full,SE-2010-1119181,NC,34.69689,Ð76.72811,2010-07-19,2010-06-30,MALE,SUBADULT
254,Full,SE-2010-1106471,NC,34.41369,Ð77.56334,2010-02-06,2010-01-11,FEMALE,ADULT
272,Full,SE-2010-1107089,SC,32.31995,Ð80.46096,2010-02-16,2010-01-30,MALE,YEARLING
279,Full,SE-2010-1107735,NC,34.68729,Ð77.37051,2010-03-10,2010-01-31,UNKNOWN,SUBADULT
303,Full,SE-2010-1109487,NC,35.0125,Ð76.30348,2010-04-11,2010-03-11,MALE,SUBADULT
308,Full,SE-2010-1109037,NC,34.91782,Ð76.760212,2010-03-27,2010-02-18,FEMALE,SUBADULT
310,Full,SE-2010-1109515,NC,34.69153,Ð76.83933,2010-04-01,2010-03-17,FEMALE,PUP/CALF
318,Full,SE-2010-1109586,SC,32.917808,Ð79.918434,2010-04-12,2010-03-17,FEMALE,ADULT
320,Full,SE-2010-1109630,SC,32.48161,Ð80.34119,2010-04-05,2010-03-07,MALE,PUP/CALF
321,Full,SE-2010-1109633,SC,32.121805,Ð80.824989,2010-03-22,2010-02-26,MALE,PUP/CALF
328,Full,SE-2010-1109656,NC,35.02946,Ð76.08762,2010-04-06,2010-03-04,UNKNOWN,PUP/CALF
343,Full,SE-2010-1108613,GA,30.75298,Ð81.47447,2010-03-15,2010-02-14,FEMALE,UNKNOWN
347,Full,SE-2010-1108247,SC,32.93444,Ð79.57396,2010-03-04,2010-02-07,UNKNOWN,
357,Full,SE-2010-1109530,NC,35.15242,Ð75.85635,2010-04-03,2010-03-15,MALE,
359,Full,SE-2010-1109547,NC,35.234505,Ð75.52708,2010-04-03,2010-03-11,FEMALE,YEARLING
368,Full,SE-2010-1109601,SC,32.77433,Ð79.80866,2010-04-03,2010-02-24,FEMALE,PUP/CALF
371,Full,SE-2010-1109631,SC,32.2145,Ð80.78143,2010-04-05,2010-03-17,FEMALE,SUBADULT
372,Full,SE-2010-1109632,SC,32.570497,Ð80.204831,2010-04-10,2010-03-19,MALE,ADULT
375,Full,SE-2010-1108337,NC,35.066369,Ð76.003392,2010-03-16,2010-02-17,FEMALE,
383,Full,SE-2010-1109655,NC,34.6597,Ð76.49691,2010-04-15,2010-03-24,MALE,PUP/CALF
403,Full,SE-2010-1108609,GA,31.28175,Ð81.318028,2010-02-26,2010-01-21,UNKNOWN,UNKNOWN
413,Full,SE-2012-1146332,SC,32.74954,Ð79.89567,2012-12-08,2012-11-10,MALE,ADULT
421,Full,SE-2010-1108971,NC,33.90606,Ð78.34365,2010-03-25,2010-03-07,MALE,YEARLING
430,Full,SE-2010-1109318,NC,34.6647,Ð76.49282,2010-04-03,2010-03-13,UNKNOWN,PUP/CALF
435,Full,SE-2010-1108611,GA,30.71348,Ð81.45671,2010-03-13,2010-02-14,FEMALE,ADULT
446,Full,SE-2010-1109276,NC,34.96814,Ð76.16939,2010-04-01,2010-02-27,FEMALE,SUBADULT
453,Full,SE-2010-1109534,NC,35.23042,Ð75.61522,2010-04-12,2010-03-19,MALE,
459,Full,SE-2010-1109634,SC,32.66434,Ð80.01089,2010-03-04,2010-02-13,MALE,SUBADULT
466,Full,SE-2010-1109589,SC,32.208133,Ð80.873346,2010-03-23,2010-03-02,MALE,ADULT
468,Full,SE-2010-1109654,NC,34.8172,Ð76.35565,2010-04-13,2010-03-27,MALE,ADULT
478,Full,SE-2010-1109706,SC,32.63634,Ð80.34569,2010-04-15,2010-03-21,FEMALE,ADULT
490,Full,SE-2010-1108453,NC,35.01108,Ð76.98065,2010-03-20,2010-02-23,FEMALE,SUBADULT
504,Full,SE-2010-1108213,SC,32.12625,Ð80.78268,2010-03-08,2010-02-08,FEMALE,PUP/CALF
510,Full,SE-2010-1109740,NC,35.07267,Ð76,2010-04-14,2010-03-26,FEMALE,PUP/CALF
517,Full,SE-2010-1109600,SC,32.56612,Ð80.18218,2010-04-02,2010-02-26,FEMALE,YEARLING
522,Full,SE-2010-1108615,GA,31.98871,Ð80.84711,2010-03-16,2010-02-23,MALE,SUBADULT
525,Full,SE-2010-1109772,NC,35.23128,Ð75.60992,2010-04-16,2010-03-22,MALE,PUP/CALF
526,Full,SE-2010-1108749,SC,32.29895,Ð80.67229,2010-03-10,2010-02-15,FEMALE,ADULT
532,Full,SE-2010-1109513,NC,34.70786,Ð77.38866,2010-04-09,2010-03-16,FEMALE,SUBADULT
547,Full,SE-2010-1115646,NC,35.03379,Ð76.08105,2010-05-24,2010-04-24,UNKNOWN,SUBADULT
565,Full,SE-2010-1114836,NC,34.637445,Ð77.122611,2010-05-07,2010-04-13,FEMALE,PUP/CALF
583,Full,SE-2010-1114440,GA,31.38669,Ð81.26637,2010-04-20,2010-03-15,MALE,UNKNOWN
588,Full,SE-2010-1114414,GA,31.42875,Ð81.243,2010-03-27,2010-03-07,UNKNOWN,PUP/CALF
606,Full,SE-2010-1114436,GA,31.11605,Ð81.41822,2010-04-20,2010-03-18,MALE,ADULT
613,Full,SE-2010-1114417,GA,30.7351,Ð81.455399,2010-04-13,2010-03-26,FEMALE,ADULT
621,Full,NE-2010-1114465,VA,37.13474,Ð75.97169,2010-03-24,2010-02-26,MALE,UNKNOWN
639,Full,SE-2010-1114422,GA,30.99459,Ð81.91205,2010-04-07,2010-03-21,FEMALE,SUBADULT
641,Full,SE-2010-1114481,NC,34.659275,Ð77.355601,2010-04-24,2010-04-01,FEMALE,YEARLING
642,Full,SE-2010-1114553,NC,35.54152,Ð75.46542,2010-04-26,2010-04-04,MALE,ADULT
643,Full,SE-2010-1114555,NC,35.2946,Ð75.515,2010-04-27,2010-03-27,MALE,ADULT
644,Full,SE-2010-1114556,NC,35.84284,Ð75.56152,2010-04-29,2010-04-05,MALE,PUP/CALF
650,Full,SE-2010-1114554,NC,35.06809,Ð76.01172,2010-04-27,2010-03-19,MALE,PUP/CALF
651,Full,SE-2010-1114573,NC,35.13983,Ð75.8856,2010-04-25,2010-04-03,MALE,ADULT
652,Full,SE-2010-1114574,NC,35.578,Ð75.4701,2010-04-29,2010-04-03,MALE,SUBADULT
656,Full,SE-2010-1114633,NC,34.74211,Ð77.42972,2010-05-03,2010-04-10,MALE,SUBADULT
659,Full,SE-2010-1114773,NC,35.37866,Ð76.49089,2010-05-04,2010-04-11,UNKNOWN,ADULT
671,Full,SE-2010-1118565,SC,32.19935,Ð80.71663,2010-06-27,2010-06-02,MALE,ADULT
684,Full,SE-2010-1118500,SC,32.6923,Ð79.94761,2010-06-22,2010-05-29,FEMALE,PUP/CALF
703,Full,SE-2010-1115805,NC,35.34092,Ð76.6583,2010-05-28,2010-04-23,MALE,SUBADULT
704,Full,SE-2010-1117431,SC,32.17198,Ð80.78698,2010-06-23,2010-06-01,MALE,YEARLING
714,Full,SE-2010-1117471,NC,36.15438,Ð75.86136,2010-06-25,2010-05-27,MALE,ADULT
715,Full,SE-2010-1115017,SC,32.788141,Ð80.132129,2010-05-13,2010-04-22,MALE,PUP/CALF
717,Full,SE-2010-1115201,NC,36.18047,Ð75.99891,2010-05-21,2010-05-01,MALE,SUBADULT
725,Full,SE-2010-1115296,NC,34.627886,Ð77.154267,2010-05-24,2010-04-30,FEMALE,SUBADULT
726,Full,SE-2010-1115178,NC,34.95706,Ð76.18333,2010-05-18,2010-04-13,UNKNOWN,SUBADULT
730,Full,SE-2010-1115436,SC,32.69246,Ð79.87404,2010-05-27,2010-04-27,MALE,SUBADULT
734,Full,SE-2010-1115097,NC,35.21632,Ð75.53059,2010-05-19,2010-05-01,MALE,ADULT
738,Full,SE-2010-1115439,SC,32.70253,Ð79.9083,2010-05-28,2010-05-05,UNKNOWN,PUP/CALF
743,Full,SE-2010-1115018,SC,32.66201,Ð79.94181,2010-05-16,2010-04-20,MALE,PUP/CALF
763,Full,NE-2010-1117973,VA,36.91444,Ð76.068453,2010-04-10,2010-03-17,FEMALE,UNKNOWN
764,Full,NE-2010-1118013,VA,37.130156,Ð75.970384,2010-05-13,2010-04-04,MALE,UNKNOWN
789,Full,SE-2010-1118280,NC,36.08116,Ð76.39514,2010-06-27,2010-05-28,MALE,ADULT
792,Full,SE-2010-1116616,NC,35.77655,Ð75.55993,2010-06-15,2010-05-13,MALE,ADULT
