"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"845",8829,"Full","NE-2013-1148802","VA",37.80832,"Ð75.98943","2013-06-05","2013-05-01","MALE","UNKNOWN",38
"846",8830,"Full","NE-2013-1148803","VA",37.72011,"Ð75.81603","2013-06-15","2013-05-17","UNKNOWN","UNKNOWN",38
"847",8831,"Full","NE-2013-1148804","VA",37.25325,"Ð76.02379","2013-06-17","2013-05-22","MALE","UNKNOWN",37
"848",8832,"Full","NE-2013-1148805","VA",37.86954,"Ð76.24463","2013-06-18","2013-05-15","FEMALE","UNKNOWN",38
"849",8835,"Full","NE-2013-1148808","VA",37.93701,"Ð76.32145","2013-06-21","2013-05-20","FEMALE","UNKNOWN",38
"850",8841,"Full","NE-2013-1150497","VA",36.852421,"Ð75.974676","2013-08-27","2013-08-03","MALE","UNKNOWN",37
"853",8844,"Full","NE-2013-1150520","VA",36.86543,"Ð75.97789","2013-08-29","2013-08-09","MALE","UNKNOWN",37
"854",8845,"Full","NE-2013-1150521","VA",37.427086,"Ð75.981422","2013-08-29","2013-07-29","UNKNOWN","UNKNOWN",37
"855",8847,"Full","NE-2013-1154660","MD",38.374149,"Ð75.067174","2013-08-30","2013-07-29","UNKNOWN","SUBADULT",38
"856",8848,"Full","NE-2013-1154661","MD",38.412536,"Ð75.055777","2013-08-31","2013-08-03","MALE","ADULT",38
"857",8849,"Full","NE-2013-1154663","MD",38.322837,"Ð75.091313","2013-09-01","2013-08-02","MALE","SUBADULT",38
"858",8850,"Full","NE-2013-1154664","MD",38.277629,"Ð75.119454","2013-09-07","2013-08-11","FEMALE","UNKNOWN",38
"859",8864,"Full","SE-2013-1149402","NC",35.58857,"Ð75.46194","2013-07-26","2013-07-05","FEMALE","YEARLING",36
"860",8866,"Full","SE-2013-1149404","NC",35.74075,"Ð75.50234","2013-07-28","2013-07-10","MALE","SUBADULT",36
"863",8870,"Full","SE-2013-1148205","GA",30.80392,"Ð81.44907","2013-05-05","2013-04-17","MALE","ADULT",31
"864",8876,"Full","SE-2013-1148814","NC",34.685833,"Ð76.991667","2013-06-21","2013-06-02","MALE","ADULT",35
"866",8887,"Full","NE-2013-1150522","VA",36.873162,"Ð75.980542","2013-08-29","2013-08-05","MALE","UNKNOWN",37
"867",8888,"Full","NE-2013-1150523","VA",36.91411,"Ð75.99084","2013-08-29","2013-08-13","MALE","UNKNOWN",37
"868",8889,"Full","NE-2013-1150524","VA",36.69673,"Ð75.92404","2013-08-29","2013-07-29","MALE","UNKNOWN",37
"869",8890,"Full","NE-2013-1150525","VA",36.57264,"Ð75.8725","2013-08-29","2013-08-07","MALE","UNKNOWN",37
"870",8891,"Full","NE-2013-1150526","VA",36.67307,"Ð75.91238","2013-08-28","2013-08-02","UNKNOWN","UNKNOWN",37
"871",8892,"Full","NE-2013-1150527","VA",36.94112,"Ð76.22714","2013-08-30","2013-08-06","UNKNOWN","UNKNOWN",37
"873",8895,"Full","NE-2013-1150530","VA",36.8144,"Ð75.96563","2013-08-30","2013-07-23","MALE","UNKNOWN",37
"874",8896,"Full","NE-2013-1150531","VA",36.9712,"Ð76.108","2013-08-31","2013-08-07","FEMALE","UNKNOWN",37
"875",8897,"Full","NE-2013-1150532","VA",36.8188,"Ð75.966972","2013-08-30","2013-07-28","MALE","UNKNOWN",37
"876",8898,"Full","NE-2013-1150534","VA",36.96484,"Ð76.26775","2013-08-30","2013-08-03","MALE","UNKNOWN",37
"878",8900,"Full","NE-2013-1154666","MD",38.087347,"Ð75.199319","2013-09-09","2013-08-17","MALE","SUBADULT",38
"879",8901,"Full","SE-2013-1154667","NC",34.67106,"Ð77.11916","2013-12-27","2013-11-22","UNKNOWN","YEARLING",35
"880",8902,"Full","NE-2013-1154811","MD",38.369169,"Ð75.068104","2013-09-09","2013-08-18","MALE","ADULT",38
"881",8903,"Full","NE-2013-1154812","MD",38.237227,"Ð75.135875","2013-09-10","2013-08-25","MALE","PUP/CALF",38
"883",8938,"Full","NE-2013-1149372","NJ",39.934793,"Ð74.071381","2013-07-14","2013-06-28","MALE","ADULT",40
"884",8939,"Full","SE-2013-1148846","SC",32.78561,"Ð79.90751","2013-06-17","2013-05-20","MALE","PUP/CALF",33
"886",8950,"Full","NE-2013-1150533","NJ",38.999999,"Ð74.787185","2013-07-29","2013-07-06","MALE","ADULT",39
"887",8951,"Full","NE-2013-1154814","MD",38.36514,"Ð75.069168","2013-09-10","2013-08-12","UNKNOWN","UNKNOWN",38
"888",8955,"Full","NE-2013-1154818","MD",38.351277,"Ð75.078795","2013-09-11","2013-08-19","UNKNOWN","ADULT",38
"889",8957,"Full","NE-2013-1154820","MD",38.0263,"Ð75.243651","2013-09-16","2013-08-21","UNKNOWN","SUBADULT",38
"890",8972,"Full","NE-2013-1149421","VA",37.81615,"Ð76.26757","2013-07-16","2013-06-10","UNKNOWN","UNKNOWN",38
"891",8973,"Full","NE-2013-1149422","VA",37.213882,"Ð76.012789","2013-07-23","2013-06-20","UNKNOWN","UNKNOWN",37
"892",8974,"Full","NE-2013-1149423","VA",36.944433,"Ð76.233567","2013-07-25","2013-06-25","FEMALE","UNKNOWN",37
"893",8976,"Full","NE-2013-1149426","VA",36.9263,"Ð76.0462","2013-07-26","2013-06-18","FEMALE","UNKNOWN",37
"894",8977,"Full","NE-2013-1149427","VA",36.9324,"Ð76.197","2013-07-26","2013-07-09","MALE","UNKNOWN",37
"896",8993,"Full","NE-2013-1148855","NJ",38.950501,"Ð74.967615","2013-06-01","2013-05-10","MALE","ADULT",39
"898",9002,"Full","SE-2013-1147939","NC",35.16424,"Ð75.82745","2013-04-13","2013-03-27","FEMALE","ADULT",35
"899",9004,"Full","SE-2013-1147942","NC",34.98577,"Ð76.1455","2013-04-14","2013-03-19","MALE","PUP/CALF",35
"900",9005,"Full","SE-2013-1147943","NC",34.89179,"Ð76.26463","2013-04-15","2013-03-20","MALE","",35
"901",9007,"Full","NE-2013-1150923","NJ",39.079983,"Ð74.73081","2013-08-08","2013-07-10","UNKNOWN","ADULT",39
"902",9008,"Full","NE-2013-1154821","MD",38.181488,"Ð75.159936","2013-09-18","2013-08-23","UNKNOWN","SUBADULT",38
"904",9032,"Full","NE-2013-1150981","VA",36.74356,"Ð75.94201","2013-09-13","2013-08-10","UNKNOWN","UNKNOWN",37
"905",9033,"Full","NE-2013-1150982","VA",36.92413,"Ð76.04916","2013-09-14","2013-08-18","FEMALE","UNKNOWN",37
"906",9034,"Full","NE-2013-1149429","VA",37.514,"Ð76.28818","2013-07-26","2013-07-04","UNKNOWN","UNKNOWN",38
"907",9035,"Full","NE-2013-1149430","VA",36.919,"Ð76.1295","2013-07-26","2013-06-22","UNKNOWN","UNKNOWN",37
"908",9036,"Full","NE-2013-1149431","VA",37.258333,"Ð76.03","2013-07-27","2013-07-02","MALE","UNKNOWN",37
"909",9037,"Full","NE-2013-1149432","VA",37.1999,"Ð76.0103","2013-07-27","2013-07-04","UNKNOWN","UNKNOWN",37
"910",9038,"Full","NE-2013-1149433","VA",37.235,"Ð76.3117","2013-07-27","2013-06-26","UNKNOWN","UNKNOWN",37
"911",9039,"Full","NE-2013-1149434","VA",37.483745,"Ð76.273389","2013-07-27","2013-07-05","UNKNOWN","UNKNOWN",37
"912",9040,"Full","NE-2013-1149435","VA",37.8038,"Ð76.30736","2013-07-28","2013-07-04","FEMALE","UNKNOWN",38
"913",9041,"Full","NE-2013-1149436","VA",36.9263,"Ð76.0473","2013-07-28","2013-07-07","MALE","UNKNOWN",37
"914",9042,"Full","NE-2013-1149437","VA",37.2,"Ð76.27","2013-07-28","2013-07-01","MALE","UNKNOWN",37
"915",9043,"Full","NE-2013-1149438","VA",36.989017,"Ð76.116883","2013-07-28","2013-07-10","MALE","UNKNOWN",37
"916",9044,"Full","SE-2013-1149439","NC",36.081716,"Ð76.387703","2013-08-01","2013-07-07","MALE","ADULT",36
"918",9048,"Full","SE-2013-1154772","NC",34.64625,"Ð76.54842","2013-12-30","2013-11-26","UNKNOWN","",35
"919",9049,"Full","SE-2013-1154773","NC",35.59691,"Ð75.8556","2013-12-31","2013-11-28","UNKNOWN","SUBADULT",36
"921",9057,"Full","NE-2013-1152876","NJ",38.994297,"Ð74.95785","2013-11-25","2013-10-29","UNKNOWN","ADULT",39
"922",9062,"Full","NE-2013-1150765","NJ",39.604123,"Ð74.205733","2013-07-30","2013-07-03","FEMALE","ADULT",40
"923",9063,"Full","NE-2013-1150766","NJ",39.344398,"Ð74.460233","2013-07-31","2013-07-05","MALE","ADULT",39
"925",9065,"Full","SE-2013-1149055","GA",32.03007,"Ð80.85273","2013-06-26","2013-06-09","MALE","ADULT",32
"926",9066,"Full","NE-2013-1150924","NJ",39.977913,"Ð74.063914","2013-08-09","2013-07-18","MALE","SUBADULT",40
"927",9067,"Full","NE-2013-1150925","NJ",38.996299,"Ð74.957258","2013-08-10","2013-07-21","MALE","ADULT",39
"928",9082,"Full","NE-2013-1150983","VA",36.92936,"Ð76.00941","2013-09-13","2013-08-23","MALE","UNKNOWN",37
"929",9083,"Full","NE-2013-1150984","VA",37.20621,"Ð76.40196","2013-09-14","2013-08-24","MALE","UNKNOWN",37
"931",9085,"Full","NE-2013-1150986","VA",36.89652,"Ð76.40823","2013-09-15","2013-08-10","MALE","UNKNOWN",37
"932",9086,"Full","NE-2013-1150987","VA",36.61532,"Ð75.88432","2013-09-15","2013-08-10","UNKNOWN","UNKNOWN",37
"934",9088,"Full","NE-2013-1150989","VA",37.899973,"Ð75.40652","2013-09-16","2013-08-29","FEMALE","UNKNOWN",38
"935",9089,"Full","NE-2013-1150990","VA",37.138,"Ð75.9738","2013-09-15","2013-08-14","MALE","UNKNOWN",37
"937",9091,"Full","NE-2013-1150992","VA",36.91194,"Ð76.08429","2013-09-17","2013-08-14","FEMALE","UNKNOWN",37
"938",9092,"Full","NE-2013-1150993","VA",36.92609,"Ð76.16486","2013-09-17","2013-08-08","UNKNOWN","UNKNOWN",37
"939",9093,"Full","NE-2013-1150994","VA",36.89421,"Ð75.98588","2013-09-17","2013-08-11","FEMALE","UNKNOWN",37
"942",9097,"Full","SE-2013-1150036","NC",35.74577,"Ð75.50525","2013-08-21","2013-07-26","MALE","PUP/CALF",36
"943",9102,"Full","NE-2013-1150767","NJ",39.267427,"Ð74.584308","2013-08-01","2013-07-08","MALE","SUBADULT",39
"944",9103,"Full","NE-2013-1150768","NJ",39.110081,"Ð74.707937","2013-08-02","2013-07-06","MALE","ADULT",39
"945",9104,"Full","NE-2013-1150926","NJ",40.401636,"Ð73.980237","2013-08-11","2013-07-14","MALE","ADULT",40
"946",9105,"Full","NE-2013-1150927","NJ",39.851214,"Ð74.085387","2013-08-11","2013-07-23","MALE","SUBADULT",40
"947",9106,"Full","NE-2013-1150928","MD",38.374052,"Ð75.066962","2013-09-08","2013-08-15","MALE","SUBADULT",38
"948",9121,"Full","NE-2013-1149168","MD",38.38069,"Ð76.387481","2013-07-13","2013-06-15","UNKNOWN","ADULT",38
"949",9122,"Full","NE-2013-1149169","MD",38.475573,"Ð76.331349","2013-07-14","2013-06-20","MALE","ADULT",38
"950",9123,"Full","NE-2013-1149170","MD",38.475654,"Ð76.331349","2013-07-16","2013-06-13","UNKNOWN","UNKNOWN",38
"951",9127,"Full","NE-2013-1149450","VA",37.18912,"Ð75.99961","2013-08-01","2013-07-04","MALE","UNKNOWN",37
"952",9128,"Full","NE-2013-1149451","VA",37.04924,"Ð76.28625","2013-08-03","2013-06-27","FEMALE","UNKNOWN",37
"953",9129,"Full","NE-2013-1149472","VA",37.35326,"Ð76.32751","2013-08-03","2013-07-09","FEMALE","UNKNOWN",37
"954",9130,"Full","NE-2013-1149474","VA",36.99467,"Ð76.3812","2013-08-02","2013-07-08","UNKNOWN","UNKNOWN",37
"956",9132,"Full","NE-2013-1149476","VA",37.17826,"Ð75.99114","2013-08-02","2013-07-10","FEMALE","UNKNOWN",37
"957",9133,"Full","NE-2013-1149477","VA",37.23,"Ð76.0105","2013-08-04","2013-07-07","MALE","UNKNOWN",37
"958",9134,"Full","NE-2013-1149479","VA",37.0158,"Ð76.298","2013-07-28","2013-06-26","UNKNOWN","UNKNOWN",37
"959",9135,"Full","NE-2013-1149480","VA",36.8899,"Ð75.9842","2013-07-29","2013-06-30","MALE","UNKNOWN",37
"960",9136,"Full","NE-2013-1149481","VA",37.2446,"Ð76.0188","2013-07-29","2013-06-24","UNKNOWN","UNKNOWN",37
"961",9137,"Full","NE-2013-1149485","VA",37.229,"Ð76.033827","2013-07-29","2013-07-02","MALE","UNKNOWN",37
"962",9138,"Full","NE-2013-1150041","VA",36.82394,"Ð75.96777","2013-08-17","2013-07-11","UNKNOWN","UNKNOWN",37
"963",9139,"Full","NE-2013-1150046","VA",37.043334,"Ð76.288157","2013-08-18","2013-07-27","UNKNOWN","UNKNOWN",37
"964",9145,"Full","NE-2013-1150769","NJ",38.928612,"Ð74.921528","2013-08-03","2013-07-14","MALE","ADULT",39
"965",9147,"Full","NE-2013-1150771","NJ",40.033167,"Ð74.049592","2013-08-07","2013-07-11","UNKNOWN","ADULT",40
"966",9155,"Full","NE-2013-1154971","NJ",39.66443,"Ð74.160887","2013-10-27","2013-10-04","MALE","SUBADULT",40
"967",9156,"Full","NE-2013-1154972","NJ",40.449518,"Ð73.984765","2013-11-01","2013-10-08","MALE","ADULT",40
"970",9162,"Full","NE-2013-1152027","NJ",38.967815,"Ð74.832504","2013-08-08","2013-07-22","FEMALE","ADULT",39
"971",9163,"Full","SE-2013-1152032","NC",33.88918,"Ð78.42442","2013-10-25","2013-10-10","MALE","ADULT",34
"972",9164,"Full","NE-2013-1150051","VA",37.056946,"Ð76.282865","2013-08-18","2013-07-17","FEMALE","UNKNOWN",37
"973",9165,"Full","NE-2013-1150054","VA",36.92481,"Ð76.04878","2013-08-18","2013-08-01","MALE","UNKNOWN",37
"976",9172,"Full","NE-2013-1154888","MD",38.408879,"Ð75.056036","2013-10-10","2013-09-13","FEMALE","ADULT",38
"977",9173,"Full","NE-2013-1154889","MD",38.416985,"Ð75.055011","2013-10-10","2013-09-20","UNKNOWN","YEARLING",38
"978",9178,"Full","NE-2013-1151664","VA",36.93178,"Ð76.19347","2013-10-01","2013-08-28","UNKNOWN","UNKNOWN",37
"979",9179,"Full","NE-2013-1151665","VA",36.81903,"Ð75.96684","2013-10-01","2013-09-05","FEMALE","UNKNOWN",37
"980",9181,"Full","NE-2013-1151676","VA",36.90987,"Ð76.08805","2013-10-02","2013-09-12","MALE","UNKNOWN",37
"981",9182,"Full","NE-2013-1151677","VA",36.91734,"Ð76.1254","2013-10-02","2013-09-03","MALE","UNKNOWN",37
"983",9185,"Full","SE-2013-1154469","NC",34.68186,"Ð76.65235","2013-12-15","2013-11-20","MALE","SUBADULT",35
"984",9186,"Full","SE-2013-1154470","NC",34.69342,"Ð76.68503","2013-12-15","2013-11-16","MALE","ADULT",35
"987",9193,"Full","NE-2013-1150232","VA",37.124147,"Ð76.294017","2013-08-24","2013-08-01","UNKNOWN","UNKNOWN",37
"988",9194,"Full","NE-2013-1150234","VA",36.91064,"Ð76.10247","2013-08-25","2013-07-20","FEMALE","UNKNOWN",37
"989",9195,"Full","NE-2013-1150236","VA",36.8868,"Ð76.332633","2013-08-25","2013-08-06","FEMALE","UNKNOWN",37
"990",9196,"Full","NE-2013-1150237","VA",36.9423,"Ð76.227972","2013-08-24","2013-07-18","MALE","UNKNOWN",37
"993",9201,"Full","NE-2013-1152036","VA",36.91456,"Ð76.06836","2013-10-24","2013-09-27","FEMALE","UNKNOWN",37
"994",9202,"Full","NE-2013-1152037","VA",37.95352,"Ð75.36386","2013-10-21","2013-09-29","MALE","UNKNOWN",38
"995",9204,"Full","NE-2013-1149380","NJ",39.581884,"Ð74.221947","2013-07-18","2013-07-03","FEMALE","ADULT",40
"996",9205,"Full","NE-2013-1150147","NJ",38.930751,"Ð74.910195","2013-08-22","2013-07-23","UNKNOWN","ADULT",39
"997",9206,"Full","NE-2013-1150148","NJ",39.626379,"Ð74.189991","2013-08-18","2013-07-13","MALE","PUP/CALF",40
"999",9209,"Full","NE-2013-1154898","NJ",39.583198,"Ð74.220849","2013-10-08","2013-09-19","FEMALE","YEARLING",40
"1000",9212,"Full","NE-2013-1151930","NJ",39.224981,"Ð74.631887","2013-09-27","2013-08-21","UNKNOWN","PUP/CALF",39
"1001",9213,"Full","NE-2013-1151931","NJ",39.976013,"Ð74.064301","2013-09-28","2013-08-31","FEMALE","PUP/CALF",40
"1002",9214,"Full","NE-2013-1151932","NJ",39.396136,"Ð74.372816","2013-09-30","2013-08-30","MALE","ADULT",39
"1003",9215,"Full","NE-2013-1151933","NJ",39.532605,"Ð74.260891","2013-09-30","2013-08-29","UNKNOWN","YEARLING",40
"1006",9219,"Full","NE-2013-1151739","NJ",39.161479,"Ð74.684318","2013-09-16","2013-08-18","MALE","PUP/CALF",39
"1007",9220,"Full","NE-2013-1151740","NJ",39.765181,"Ð74.096566","2013-09-17","2013-08-21","MALE","PUP/CALF",40
"1008",9221,"Full","SE-2013-1154471","NC",35.01026,"Ð76.29793","2013-12-16","2013-11-10","UNKNOWN","PUP/CALF",35
"1010",9244,"Full","NE-2013-1150149","NJ",39.183053,"Ð74.668047","2013-08-19","2013-07-12","UNKNOWN","SUBADULT",39
"1012",9246,"Full","SE-2013-1152800","NC",34.67051,"Ð76.59626","2013-11-14","2013-10-21","MALE","ADULT",35
"1013",9247,"Full","SE-2014-1154899","NC",35.60651,"Ð75.46513","2014-01-15","2013-12-24","MALE","SUBADULT",36
"1014",9248,"Full","NE-2013-1154900","NJ",40.361508,"Ð73.972076","2013-09-30","2013-09-13","FEMALE","SUBADULT",40
"1015",9249,"Full","NE-2013-1154901","NJ",39.271801,"Ð74.576149","2013-10-04","2013-09-17","MALE","ADULT",39
"1016",9250,"Full","NE-2013-1154902","NJ",39.028951,"Ð74.943954","2013-10-04","2013-09-19","MALE","ADULT",39
"1017",9251,"Full","NE-2013-1154903","NJ",39.208564,"Ð74.655207","2013-10-05","2013-09-15","FEMALE","YEARLING",39
"1018",9252,"Full","NE-2013-1154904","NJ",38.938496,"Ð74.889532","2013-10-05","2013-09-14","FEMALE","YEARLING",39
"1019",9254,"Full","NE-2013-1151935","NJ",39.128445,"Ð74.70557","2013-10-03","2013-08-29","FEMALE","PUP/CALF",39
"1021",9256,"Full","SE-2013-1151938","NC",36.13353,"Ð75.72843","2013-10-18","2013-09-16","UNKNOWN","UNKNOWN",36
"1022",9259,"Full","NE-2013-1151741","NJ",40.157977,"Ð74.019696","2013-09-01","2013-08-12","MALE","SUBADULT",40
"1023",9260,"Full","NE-2013-1151744","NJ",40.207248,"Ð74.00398","2013-09-17","2013-08-11","MALE","SUBADULT",40
"1024",9261,"Full","NE-2013-1151746","NJ",39.029625,"Ð74.775036","2013-09-19","2013-08-17","UNKNOWN","PUP/CALF",39
"1025",9262,"Full","NE-2013-1154492","NY",40.62,"Ð73.3025","2013-10-24","2013-09-30","MALE","SUBADULT",41
"1026",9263,"Full","SE-2013-1154496","NC",34.595761,"Ð77.233389","2013-12-18","2013-11-11","UNKNOWN","",35
"1030",9278,"Full","NE-2013-1154905","NJ",39.273558,"Ð74.572675","2013-10-06","2013-09-16","FEMALE","YEARLING",39
"1031",9280,"Full","NE-2013-1154908","NJ",39.092702,"Ð74.716948","2013-10-07","2013-09-19","MALE","SUBADULT",39
"1032",9281,"Full","NE-2013-1154909","NJ",38.938203,"Ð74.971548","2013-10-08","2013-09-18","MALE","ADULT",39
"1033",9286,"Full","NE-2013-1153273","VA",36.572921,"Ð75.872467","2013-12-11","2013-11-02","UNKNOWN","UNKNOWN",37
"1034",9287,"Full","NE-2013-1153274","VA",36.92848,"Ð76.16936","2013-12-12","2013-11-17","MALE","UNKNOWN",37
"1035",9295,"Full","SE-2013-1154534","NC",34.67063,"Ð76.98253","2013-12-20","2013-11-29","MALE","SUBADULT",35
"1036",9297,"Full","NE-2013-1151106","NJ",39.835598,"Ð74.087947","2013-08-13","2013-07-25","MALE","PUP/CALF",40
"1038",9311,"Full","SE-2013-1153350","SC",32.63274,"Ð79.98235","2013-12-15","2013-11-21","MALE","ADULT",33
"1043",9325,"Full","SE-2013-1151769","NC",34.58527,"Ð77.24477","2013-10-07","2013-09-11","MALE","ADULT",35
"1044",9326,"Full","NE-2013-1151108","NJ",39.554276,"Ð74.242004","2013-08-14","2013-07-28","MALE","PUP/CALF",40
"1045",9327,"Full","NE-2013-1151110","NJ",39.535825,"Ð74.259095","2013-08-15","2013-07-22","FEMALE","ADULT",40
"1048",9339,"Full","SE-2013-1152113","NC",34.67043,"Ð77.13998","2013-10-28","2013-10-06","FEMALE","SUBADULT",35
"1049",9340,"Full","SE-2013-1152114","NC",35.740578,"Ð75.502289","2013-10-29","2013-10-07","MALE","SUBADULT",36
"1050",9341,"Full","NE-2013-1152115","NJ",39.420813,"Ð74.346887","2013-09-12","2013-08-22","FEMALE","PUP/CALF",39
"1051",9370,"Full","SE-2014-1156132","SC",32.22103,"Ð80.66695","2014-03-02","2014-02-04","FEMALE","ADULT",32
"1052",9372,"Full","SE-2014-1156134","SC",32.496936,"Ð80.342756","2014-03-02","2014-02-07","UNKNOWN","SUBADULT",32
"1053",9390,"Full","NE-2013-1151600","VA",36.60486,"Ð75.8808","2013-09-27","2013-08-27","UNKNOWN","UNKNOWN",37
"1054",9392,"Full","NE-2013-1151731","VA",36.74535,"Ð75.94246","2013-10-04","2013-09-04","UNKNOWN","UNKNOWN",37
"1055",9393,"Full","NE-2013-1151732","VA",37.380774,"Ð76.435057","2013-10-04","2013-09-05","MALE","UNKNOWN",37
"1056",9394,"Full","NE-2013-1151733","VA",37.58015,"Ð75.6067","2013-10-04","2013-09-09","MALE","UNKNOWN",38
"1057",9395,"Full","NE-2013-1151734","VA",36.821775,"Ð75.966725","2013-10-05","2013-09-09","MALE","UNKNOWN",37
"1058",9414,"Full","NE-2013-1150437","DE",38.608556,"Ð75.07539","2013-08-23","2013-07-20","MALE","SUBADULT",39
"1060",9429,"Full","SE-2014-1157020","SC",32.50733,"Ð80.60525","2014-04-27","2014-03-18","MALE","SUBADULT",33
"1061",9432,"Full","SE-2014-1157022","SC",32.75492,"Ð79.8549","2014-05-02","2014-04-08","FEMALE","PUP/CALF",33
"1062",9435,"Full","SE-2014-1157025","SC",32.759908,"Ð79.831678","2014-05-10","2014-04-10","MALE","PUP/CALF",33
"1063",9436,"Full","NE-2013-1155288","NY",40.6826,"Ð73.0054","2013-09-01","2013-08-01","UNKNOWN","ADULT",41
"1064",9437,"Full","NE-2013-1155289","NY",40.58227,"Ð73.6454","2013-09-01","2013-07-27","MALE","SUBADULT",41
"1065",9438,"Full","NE-2013-1155290","NY",40.5832,"Ð73.6724","2013-09-02","2013-08-08","MALE","",41
"1066",9439,"Full","NE-2013-1155291","NY",41.0403,"Ð71.9051","2013-09-03","2013-07-26","MALE","ADULT",41
"1069",9482,"Full","NE-2013-1151803","VA",37.26427,"Ð76.42044","2013-10-04","2013-09-01","UNKNOWN","UNKNOWN",37
"1070",9484,"Full","NE-2013-1151806","NJ",39.040461,"Ð74.936339","2013-05-25","2013-04-30","MALE","ADULT",39
"1071",9485,"Full","NE-2013-1151807","NJ",38.956949,"Ð74.846663","2013-05-30","2013-05-02","UNKNOWN","PUP/CALF",39
"1072",9523,"Full","SE-2014-1157028","SC",32.388881,"Ð80.773987","2014-05-17","2014-04-22","MALE","SUBADULT",32
"1073",9532,"Full","NE-2013-1155301","NY",40.667,"Ð73.056","2013-09-12","2013-08-06","UNKNOWN","ADULT",41
"1074",9561,"Full","NE-2013-1150802","MD",38.243924,"Ð75.132214","2013-09-08","2013-08-12","MALE","SUBADULT",38
"1075",9572,"Full","NE-2013-1151811","VA",36.89272,"Ð75.98537","2013-10-04","2013-09-15","FEMALE","UNKNOWN",37
"1076",9573,"Full","NE-2013-1151812","NJ",39.147409,"Ð74.695494","2013-06-07","2013-05-11","FEMALE","PUP/CALF",39
"1077",9589,"Full","NE-2013-1148931","VA",37.266232,"Ð76.022646","2013-06-25","2013-05-21","UNKNOWN","UNKNOWN",37
"1078",9594,"Full","SE-2014-1156411","GA",30.9769,"Ð81.41257","2014-03-29","2014-03-03","UNKNOWN","SUBADULT",31
"1080",9596,"Full","SE-2014-1156413","GA",31.6542,"Ð81.19187","2014-04-05","2014-03-13","UNKNOWN","PUP/CALF",32
"1081",9599,"Full","SE-2013-1148963","GA",31.2497,"Ð81.29348","2013-04-27","2013-04-13","UNKNOWN","YEARLING",31
"1082",9610,"Full","SE-2013-1151350","NC",35.36384,"Ð76.69911","2013-09-21","2013-08-26","MALE","SUBADULT",35
"1083",9612,"Full","SE-2013-1147505","NC",35.03976,"Ð76.07177","2013-03-19","2013-02-19","FEMALE","",35
"1084",9613,"Full","SE-2013-1147506","NC",34.98455,"Ð76.147","2013-03-19","2013-02-20","FEMALE","",35
"1085",9622,"Full","SE-2013-1147690","NC",34.46976,"Ð77.46711","2013-04-01","2013-03-12","MALE","",34
"1086",9627,"Full","SE-2013-1151071","SC",32.2234,"Ð80.90196","2013-08-31","2013-08-04","FEMALE","YEARLING",32
"1087",9631,"Full","SE-2013-1153075","SC",32.10835,"Ð80.8221","2013-11-09","2013-10-22","FEMALE","SUBADULT",32
"1088",9632,"Full","SE-2013-1153076","SC",33.6494,"Ð78.9267","2013-11-09","2013-10-08","MALE","ADULT",34
"1090",9637,"Full","SE-2014-1156237","NC",35.01324,"Ð76.11005","2014-04-03","2014-03-01","MALE","PUP/CALF",35
"1091",9640,"Full","NE-2013-1148932","VA",37.61832,"Ð76.29723","2013-06-26","2013-05-23","MALE","UNKNOWN",38
"1092",9643,"Full","SE-2013-1149414","SC",33.43507,"Ð79.11793","2013-07-25","2013-07-02","MALE","PUP/CALF",33
"1094",9645,"Full","NE-2013-1149441","VA",37.29197,"Ð76.0134","2013-08-02","2013-07-03","UNKNOWN","UNKNOWN",37
"1095",9646,"Full","NE-2013-1149496","VA",36.92729,"Ð76.16484","2013-07-30","2013-06-27","MALE","UNKNOWN",37
"1097",9648,"Full","NE-2013-1149500","VA",37.06918,"Ð76.25805","2013-07-30","2013-07-05","MALE","UNKNOWN",37
"1098",9649,"Full","NE-2013-1149501","VA",36.838901,"Ð75.970425","2013-07-30","2013-06-30","MALE","UNKNOWN",37
"1099",9650,"Full","NE-2013-1149502","VA",36.94215,"Ð76.22887","2013-07-31","2013-06-28","FEMALE","UNKNOWN",37
"1100",9651,"Full","NE-2013-1149505","VA",36.9515,"Ð76.0379","2013-07-31","2013-07-12","MALE","ADULT",37
"1102",9654,"Full","NE-2013-1149508","VA",37.19967,"Ð76.01053","2013-07-30","2013-07-07","MALE","UNKNOWN",37
"1103",9678,"Full","NE-2013-1155236","NY",40.5846,"Ð73.6301","2013-06-29","2013-06-13","MALE","ADULT",41
"1104",9679,"Full","NE-2013-1155238","NY",40.572592,"Ð73.980611","2013-07-01","2013-05-24","MALE","ADULT",41
"1105",9681,"Full","NE-2013-1155240","NY",40.7524,"Ð72.7996","2013-07-05","2013-06-03","UNKNOWN","ADULT",41
"1106",9682,"Full","NE-2013-1155241","NY",40.746722,"Ð72.819444","2013-07-24","2013-06-20","UNKNOWN","UNKNOWN",41
"1107",9683,"Full","NE-2013-1155242","NY",40.6345,"Ð73.3133","2013-07-06","2013-06-20","MALE","ADULT",41
"1108",9684,"Full","NE-2013-1155243","NY",41.014639,"Ð71.991156","2013-07-09","2013-06-24","MALE","ADULT",41
"1109",9685,"Full","NE-2013-1155244","NY",40.7202,"Ð72.9038","2013-07-10","2013-06-13","FEMALE","ADULT",41
