"","X","Patch","National.Database.Number","State","Latitude","Longitude","Observation.Date","Estimated_Infection_Date","Sex","Age.Class","Lat"
"660",8441,"Full","NE-2013-1150223","VA",37.25306,"Ð76.4524","2013-08-21","2013-07-12","UNKNOWN","UNKNOWN",37
"661",8442,"Full","NE-2013-1150224","VA",36.748349,"Ð75.943947","2013-08-23","2013-07-24","MALE","UNKNOWN",37
"662",8443,"Full","SE-2013-1150225","NC",36.5457,"Ð75.86663","2013-08-26","2013-07-24","UNKNOWN","SUBADULT",37
"664",8445,"Full","SE-2014-1157651","NC",36.10116,"Ð76.20806","2014-06-12","2014-05-21","MALE","ADULT",36
"665",8446,"Full","SE-2013-1150711","NC",35.93191,"Ð75.608312","2013-09-06","2013-08-18","FEMALE","YEARLING",36
"666",8447,"Full","SE-2013-1150713","NC",35.90209,"Ð75.59058","2013-09-06","2013-08-15","FEMALE","YEARLING",36
"670",8459,"Full","NE-2013-1151325","NJ",39.046619,"Ð74.758962","2013-08-25","2013-08-04","FEMALE","SUBADULT",39
"671",8460,"Full","NE-2013-1151326","NJ",39.198547,"Ð74.65728","2013-08-25","2013-07-26","MALE","ADULT",39
"672",8465,"Full","NE-2013-1148775","VA",37.35565,"Ð75.99455","2013-05-23","2013-04-24","MALE","UNKNOWN",37
"673",8466,"Full","NE-2013-1148776","VA",37.8134,"Ð75.9964","2013-05-27","2013-05-02","UNKNOWN","UNKNOWN",38
"674",8467,"Full","NE-2013-1152088","VA",37.46337,"Ð75.96417","2013-10-27","2013-10-03","FEMALE","UNKNOWN",37
"675",8468,"Full","SE-2013-1152089","NC",35.19004,"Ð75.77676","2013-10-28","2013-09-30","FEMALE","ADULT",35
"676",8469,"Full","SE-2013-1152090","NC",36.222216,"Ð75.768717","2013-10-28","2013-10-11","FEMALE","YEARLING",36
"677",8470,"Full","NE-2013-1152093","NJ",38.940053,"Ð74.972254","2013-09-06","2013-08-16","MALE","SUBADULT",39
