,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
7926,Full,SE-2013-1154626,GA,31.20082,Ð81.31166,2013-12-16,2013-11-16,MALE,ADULT
7927,Full,SE-2013-1154627,GA,30.74672,Ð81.45842,2013-12-18,2013-11-18,MALE,ADULT
7928,Full,NE-2014-1157595,NJ,39.122333,Ð75.095483,2014-05-23,2014-05-01,MALE,ADULT
7930,Full,NE-2014-1157897,NJ,39.526133,Ð74.272335,2014-06-30,2014-06-04,MALE,ADULT
7931,Full,NE-2014-1157898,NJ,39.375771,Ð74.401649,2014-06-01,2014-05-01,MALE,ADULT
7945,Full,SE-2013-1152674,NC,34.69572,Ð76.7055,2013-11-05,2013-10-17,MALE,SUBADULT
7950,Full,SE-2013-1151666,NC,33.90744,Ð78.33164,2013-10-02,2013-09-05,MALE,
7951,Full,NE-2013-1151668,NJ,39.354172,Ð74.433809,2013-07-31,2013-06-29,UNKNOWN,UNKNOWN
7952,Full,NE-2013-1151669,NJ,39.969258,Ð74.065524,2013-08-30,2013-08-14,MALE,SUBADULT
7953,Full,NE-2013-1151670,NJ,39.756423,Ð74.098279,2013-09-02,2013-07-31,UNKNOWN,SUBADULT
7954,Full,NE-2013-1152774,VA,37.99232,Ð75.27014,2013-11-08,2013-10-12,UNKNOWN,UNKNOWN
7955,Full,NE-2013-1152775,MD,38.192671,Ð75.155424,2013-11-08,2013-10-19,MALE,SUBADULT
7956,Full,NE-2013-1152778,NJ,39.629215,Ð74.187746,2013-10-22,2013-09-25,MALE,SUBADULT
7964,Full,SE-2014-1157682,SC,32.71788,Ð79.93219,2014-05-27,2014-04-29,FEMALE,SUBADULT
7965,Full,SE-2014-1157683,SC,32.696394,Ð79.892267,2014-06-01,2014-05-06,UNKNOWN,PUP/CALF
7967,Full,SE-2013-1154628,GA,31.46289,Ð81.214,2013-12-19,2013-11-27,MALE,ADULT
7968,Full,SE-2013-1154629,GA,31.48776,Ð81.19785,2013-12-19,2013-11-16,UNKNOWN,ADULT
7969,Full,SE-2013-1154630,GA,31.53688,Ð81.20004,2013-12-19,2013-11-26,MALE,ADULT
7970,Full,SE-2013-1154631,GA,31.82469,Ð81.04271,2013-12-19,2013-11-14,MALE,ADULT
7971,Full,SE-2013-1154632,GA,30.903575,Ð81.40445,2013-12-21,2013-12-04,FEMALE,ADULT
7972,Full,SE-2013-1154633,GA,31.16866,Ð81.35501,2013-12-23,2013-11-30,FEMALE,ADULT
7981,Full,NE-2014-1157942,VA,36.929737,Ð76.01076,2014-06-27,2014-06-03,UNKNOWN,UNKNOWN
7991,Full,NE-2014-1154810,MD,38.264191,Ð75.123291,2014-01-05,2013-11-27,FEMALE,ADULT
7997,Full,SE-2014-1155785,NC,34.47917,Ð77.44754,2014-03-08,2014-01-29,MALE,ADULT
8004,Full,NE-2013-1152679,NJ,38.990294,Ð74.836126,2013-10-13,2013-09-09,UNKNOWN,SUBADULT
8008,Full,NE-2013-1152683,NJ,38.959936,Ð74.842686,2013-10-17,2013-09-15,UNKNOWN,UNKNOWN
8010,Full,NE-2013-1152685,NJ,39.434321,Ð74.334316,2013-10-17,2013-09-21,MALE,ADULT
8011,Full,SE-2013-1152686,NC,35.0914,Ð75.97739,2013-11-02,2013-10-05,MALE,ADULT
