"","Coastal","Estuarine"
"399","8","11"
"400","9","10"
"401","10","9"
"402","11","11"
"403","10","11"
"404","8","11"
"405","10","9"
"406","9","10"
"407","10","12"
"408","10","10"
"409","8","11"
"410","12","11"
"411","10","9"
"412","11","10"
"413","10","10"
"414","11","10"
"415","9","11"
"416","10","11"
"417","11","10"
"418","11","10"
"419","9","11"
"420","9","11"
"421","10","10"
"422","9","10"
"423","9","9"
"424","9","10"
"425","9","11"
"426","10","11"
"427","11","9"
"428","11","11"
"429","8","10"
"430","9","9"
"431","10","10"
"432","9","11"
"433","10","9"
"434","9","9"
"435","9","10"
"436","11","12"
"437","8","10"
"438","9","10"
"439","10","10"
"440","9","10"
"441","11","11"
"442","10","10"
"443","9","11"
"444","10","11"
"445","10","10"
"446","9","10"
"447","9","11"
"448","10","11"
"449","10","12"
"450","11","10"
"451","9","11"
"452","9","11"
"453","9","11"
"454","9","10"
"455","9","10"
"456","11","10"
"457","9","11"
"458","11","11"
"459","10","10"
"460","11","10"
"461","9","11"
"462","10","11"
"463","9","10"
"464","9","10"
"465","8","9"
"466","10","11"
"467","10","10"
"468","11","10"
"469","10","10"
"470","9","12"
"471","10","10"
"472","10","10"
"473","9","9"
"474","10","12"
"475","10","11"
"476","8","10"
"477","9","11"
"478","10","11"
"479","10","11"
"480","8","11"
"481","11","11"
"482","11","10"
"483","8","10"
"484","11","9"
"485","10","12"
"486","10","10"
"487","10","10"
"488","10","11"
"489","10","10"
"490","10","10"
"491","10","11"
"492","11","10"
"493","8","10"
"494","11","10"
"495","9","11"
"496","11","10"
"497","11","9"
"498","11","12"
"499","10","10"
"500","9","10"
"501","9","10"
"502","10","10"
"503","9","10"
"504","9","10"
"505","9","11"
"506","10","9"
"507","8","10"
"508","8","9"
"509","10","11"
"510","10","11"
"511","10","11"
"512","10","12"
"513","8","10"
"514","9","11"
"515","11","10"
"516","11","11"
"517","10","10"
"518","10","11"
"519","9","10"
"520","10","10"
"521","10","9"
"522","11","11"
"523","10","10"
"524","11","11"
"525","9","11"
"526","10","10"
"527","9","11"
"528","9","12"
"529","10","11"
"530","9","11"
"531","9","11"
"532","9","10"
"533","10","12"
"534","9","10"
"535","9","11"
"536","9","10"
"537","11","10"
"538","10","12"
"539","10","9"
"540","11","11"
"541","10","11"
"542","10","10"
"543","12","12"
"544","9","11"
"545","10","11"
"546","10","10"
"547","10","11"
"548","9","11"
"549","10","10"
"550","10","10"
"551","10","10"
"552","10","11"
"553","11","10"
"554","11","10"
"555","10","10"
"556","9","10"
"557","11","9"
"558","11","11"
"559","9","11"
"560","9","11"
"561","10","9"
"562","11","10"
"563","10","10"
"564","11","12"
"565","9","11"
"566","11","9"
"567","8","10"
"568","10","11"
"569","10","9"
"570","9","10"
"571","11","10"
"572","10","11"
"573","10","11"
"574","10","11"
"575","10","9"
"576","9","10"
"577","10","9"
"578","9","10"
"579","8","10"
"580","11","11"
"581","9","11"
"582","10","11"
"583","9","11"
"584","9","11"
"585","10","11"
"586","9","10"
"587","11","11"
"588","11","11"
"589","10","11"
"590","11","11"
"591","9","10"
"592","10","11"
"593","11","11"
"594","10","9"
"595","11","10"
"596","11","10"
"597","9","11"
"598","9","10"
"599","10","11"
"600","9","9"
"601","10","10"
"602","10","11"
"603","10","11"
"604","9","10"
"605","11","12"
"606","10","10"
"607","10","12"
"608","10","10"
"609","11","10"
"610","11","10"
"611","8","11"
"612","8","11"
"613","10","11"
"614","9","10"
"615","9","11"
"616","11","10"
"617","8","10"
"618","9","11"
"619","11","11"
"620","11","10"
"621","11","10"
"622","9","11"
"623","11","10"
"624","10","10"
"625","8","11"
"626","11","11"
"627","8","11"
"628","10","11"
"629","11","10"
"630","9","10"
"631","11","10"
"632","11","11"
"633","9","10"
"634","9","11"
"635","9","10"
"636","10","10"
"637","12","10"
"638","10","11"
"639","10","11"
"640","10","10"
"641","11","11"
"642","10","10"
"643","8","11"
"644","10","11"
"645","11","10"
"646","10","10"
"647","12","11"
"648","11","10"
"649","8","11"
"650","10","12"
"651","11","11"
"652","9","11"
"653","11","11"
"654","9","10"
"655","11","10"
"656","9","10"
"657","9","10"
"658","11","10"
"659","9","11"
"660","10","10"
"661","9","11"
"662","9","10"
"663","11","10"
"664","10","11"
"665","10","10"
"666","9","10"
"667","11","11"
"668","10","12"
"669","8","11"
"670","9","11"
"671","11","10"
"672","10","10"
"673","9","11"
"674","9","10"
"675","10","11"
"676","10","11"
"677","10","10"
"678","10","11"
"679","11","10"
"680","8","10"
"681","11","10"
"682","10","9"
"683","11","10"
"684","9","10"
"685","9","11"
"686","10","11"
"687","9","11"
"688","11","10"
"689","11","11"
"690","9","11"
"691","9","9"
"692","9","10"
"693","10","10"
"694","9","11"
"695","9","10"
"696","11","11"
"697","11","11"
"698","10","10"
"699","11","9"
"700","11","9"
"701","9","11"
"702","10","10"
"703","11","10"
"704","9","11"
"705","10","11"
"706","10","10"
"707","10","11"
"708","8","11"
"709","11","10"
"710","10","11"
"711","10","10"
"712","10","10"
"713","11","11"
"714","8","11"
"715","11","10"
"716","9","11"
"717","10","11"
"718","9","10"
"719","10","10"
"720","9","11"
"721","11","10"
"722","11","10"
"723","10","10"
"724","10","10"
"725","10","10"
"726","10","12"
"727","11","10"
"728","10","10"
"729","9","10"
"730","9","10"
"731","11","11"
"732","9","11"
"733","9","10"
"734","11","11"
"735","11","11"
"736","11","11"
"737","10","10"
"738","8","11"
"739","9","11"
"740","10","10"
"741","9","11"
"742","8","11"
"743","8","10"
"744","11","11"
"745","10","10"
"746","8","12"
"747","10","11"
"748","10","11"
"749","11","11"
"750","10","10"
"751","10","12"
"752","10","10"
"753","9","9"
"754","10","10"
"755","11","11"
"756","10","9"
"757","11","10"
"758","9","11"
"759","10","12"
"760","12","10"
"761","8","10"
"762","11","10"
"763","10","10"
"764","10","11"
"765","9","11"
"766","9","11"
"767","10","11"
"768","11","10"
"769","9","10"
"770","10","10"
"771","9","10"
"772","9","10"
"773","10","12"
"774","9","11"
"775","9","11"
"776","10","10"
"777","10","10"
"778","10","10"
"779","9","10"
"780","9","11"
"781","9","11"
"782","10","10"
"783","9","10"
"784","11","11"
"785","10","11"
"786","9","11"
"787","9","11"
"788","9","11"
"789","11","10"
"790","11","11"
"791","9","9"
"792","9","10"
"793","10","10"
"794","11","10"
"795","8","9"
"796","11","10"
"797","10","10"
"798","10","10"
"799","9","10"
"800","10","11"
"801","10","10"
"802","10","10"
"803","8","10"
"804","10","10"
"805","11","11"
"806","8","11"
"807","10","11"
"808","9","11"
"809","9","11"
"810","8","11"
"811","9","10"
"812","10","11"
"813","9","10"
"814","9","10"
"815","9","10"
"816","12","11"
"817","11","10"
"818","9","10"
"819","9","11"
"820","10","10"
"821","10","10"
"822","8","10"
"823","9","10"
"824","10","10"
"825","9","11"
"826","9","10"
"827","10","10"
"828","10","10"
"829","10","10"
"830","11","11"
"831","10","10"
"832","11","11"
"833","11","11"
"834","10","10"
"835","11","10"
"836","9","11"
"837","10","10"
"838","11","11"
"839","9","10"
"840","11","10"
"841","9","10"
"842","10","11"
"843","9","10"
"844","10","10"
"845","9","11"
"846","9","11"
"847","11","11"
"848","10","10"
"849","9","11"
"850","11","10"
"851","11","12"
"852","10","11"
"853","9","10"
"854","11","10"
"855","9","10"
"856","9","11"
"857","9","10"
"858","9","11"
"859","11","11"
"860","9","11"
"861","10","9"
"862","11","10"
"863","8","11"
"864","11","10"
"865","9","11"
"866","9","11"
"867","10","10"
"868","9","10"
"869","10","10"
"870","9","11"
"871","9","12"
"872","10","11"
"873","10","11"
"874","10","12"
"875","9","10"
"876","11","11"
"877","9","9"
"878","9","11"
"879","9","11"
"880","10","10"
"881","11","10"
"882","10","10"
"883","10","10"
"884","11","11"
"885","8","12"
"886","10","11"
"887","11","10"
"888","11","10"
"889","9","10"
"890","10","10"
"891","9","10"
"892","12","11"
"893","10","11"
"894","11","10"
"895","11","11"
"896","8","10"
"897","9","10"
"898","8","9"
"899","9","10"
"900","10","11"
"901","10","10"
"902","10","10"
"903","8","10"
"904","9","11"
"905","8","10"
"906","9","11"
"907","9","10"
"908","11","12"
"909","8","11"
"910","11","11"
"911","9","11"
"912","9","12"
"913","10","10"
"914","9","10"
"915","8","9"
"916","10","11"
"917","9","10"
"918","9","11"
"919","8","11"
"920","10","10"
"921","9","10"
"922","10","10"
"923","10","11"
"924","11","10"
"925","12","11"
"926","10","10"
"927","10","12"
"928","11","12"
"929","10","11"
"930","10","11"
"931","9","11"
"932","9","10"
"933","11","10"
"934","9","10"
"935","9","12"
"936","9","11"
"937","10","11"
"938","10","10"
"939","10","9"
"940","10","11"
"941","11","10"
"942","10","10"
"943","8","11"
"944","9","11"
"945","10","11"
"946","11","10"
"947","11","11"
"948","10","11"
"949","10","11"
"950","9","11"
"951","10","11"
"952","9","10"
"953","10","10"
"954","9","10"
"955","11","9"
"956","9","10"
"957","9","10"
"958","9","10"
"959","11","9"
"960","8","11"
"961","10","10"
"962","11","10"
"963","10","10"
"964","11","11"
"965","11","10"
"966","12","11"
"967","9","11"
"968","11","10"
"969","9","11"
"970","8","10"
"971","9","11"
"972","10","9"
"973","10","10"
"974","9","10"
"975","10","10"
"976","8","11"
"977","9","11"
"978","10","10"
"979","9","10"
"980","11","11"
"981","10","10"
"982","10","12"
"983","9","10"
"984","11","10"
"985","9","10"
"986","9","9"
"987","9","11"
"988","9","11"
"989","10","11"
"990","10","11"
"991","10","10"
"992","9","10"
"993","11","11"
"994","9","10"
"995","10","11"
"996","9","10"
"997","9","9"
"998","10","9"
"999","11","10"
"1000","11","10"
